,Unnamed: 0,Url_logo,Name,League,Overall_rating,Attack,Mid,Defense,Defensive_style,Offensive_style,Captain,SFK,LFK,LSFK,RSFK,PEN,Left_corner,Right_corner,XI_average_age,Team_average_age,Transfert_budget,Home_stadium,Rival_team,url_fbref,url_current_fbref,team_gender,from,to,comps,champs,other_names,logo
0,0,https://cdn.sofifa.com/teams/9/light_60.png,Liverpool, English Premier League (1),85,87,83,85,Press After Possession Loss,Balanced,J. Henderson,T. Alexander-Arnold,T. Alexander-Arnold,T. Alexander-Arnold,T. Alexander-Arnold,M. Salah,T. Alexander-Arnold,T. Alexander-Arnold,25.73,24.39,Euros-103M,Anfield,Manchester United,https://fbref.com/en/squads/822bd0ba/history/Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/Liverpool-Stat,M,1992-1993,2019-2020,28,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/822bd0ba.png
1,1,https://cdn.sofifa.com/teams/10/light_60.png,Manchester City, English Premier League (1),85,87,86,83,Press After Possession Loss,Possession,David Silva,K. De Bruyne,K. De Bruyne,K. De Bruyne,K. De Bruyne,S. Agüero,David Silva,K. De Bruyne,27.45,24.3,Euros-176M,Etihad Stadium,Manchester United,https://fbref.com/en/squads/b8fd03ef/history/Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stat,M,1992-1993,2019-2020,24,5,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/b8fd03ef.png
2,2,https://cdn.sofifa.com/teams/18/light_60.png,Tottenham Hotspur, English Premier League (1),82,85,82,82,Balanced,Balanced,H. Lloris,G. Lo Celso,G. Lo Celso,G. Lo Celso,G. Lo Celso,E. Lamela,G. Lo Celso,G. Lo Celso,25.45,23.0,Euros-76M,Tottenham Hotspur Stadium,Arsenal,https://fbref.com/en/squads/361ca564/history/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stat,M,1992-1993,2019-2020,28,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/361ca564.png
3,3,https://cdn.sofifa.com/teams/5/light_60.png,Chelsea, English Premier League (1),81,80,84,81,Balanced,Possession,Azpilicueta,Willian,Jorginho,Willian,Willian,Jorginho,Willian,Willian,26.64,23.39,Euros-91M,Stamford Bridge,Arsenal,https://fbref.com/en/squads/cff3d9bb/history/Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stat,M,1992-1993,2019-2020,28,5,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/cff3d9bb.png
4,4,https://cdn.sofifa.com/teams/11/light_60.png,Manchester United, English Premier League (1),81,83,80,81,Balanced,Balanced,H. Maguire,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Bruno Fernandes,Fred,23.91,23.27,Euros-177M,Old Trafford,Liverpool,https://fbref.com/en/squads/19538871/history/Manchester-United-Stats,https://fbref.com/en/squads/19538871/Manchester-United-Stat,M,1992-1993,2019-2020,28,13,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/19538871.png
5,5,https://cdn.sofifa.com/teams/1/light_60.png,Arsenal, English Premier League (1),80,84,82,78,Balanced,Balanced,P. Aubameyang,N. Pépé,N. Pépé,N. Pépé,N. Pépé,P. Aubameyang,N. Pépé,N. Pépé,26.09,23.18,Euros-74M,Emirates Stadium,Tottenham Hotspur,https://fbref.com/en/squads/18bb7c10/history/Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/Arsenal-Stat,M,1992-1993,2019-2020,28,3,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/18bb7c10.png
6,6,https://cdn.sofifa.com/teams/95/light_60.png,Leicester City, English Premier League (1),79,80,79,79,Balanced,Balanced,K. Schmeichel,J. Maddison,J. Maddison,J. Maddison,J. Maddison,J. Vardy,J. Maddison,J. Maddison,25.18,24.45,Euros-45M,King Power Stadium,Nottingham Forest,https://fbref.com/en/squads/a2d435b3/history/Leicester-City-Stats,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stat,M,1994-1995,2019-2020,25,3,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/a2d435b3.png
7,7,https://cdn.sofifa.com/teams/7/light_60.png,Everton, English Premier League (1),78,80,78,79,Balanced,Balanced,G. Sigurðsson,G. Sigurðsson,G. Sigurðsson,G. Sigurðsson,L. Digne,G. Sigurðsson,L. Digne,G. Sigurðsson,24.82,23.94,Euros-51M,Goodison Park,Liverpool,https://fbref.com/en/squads/d3fd31cc/history/Everton-Stats,https://fbref.com/en/squads/d3fd31cc/Everton-Stat,M,1992-1993,2019-2020,28,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/d3fd31cc.png
8,8,https://cdn.sofifa.com/teams/19/light_60.png,West Ham United, English Premier League (1),78,82,78,73,Balanced,Balanced,M. Noble,A. Cresswell,M. Noble,A. Cresswell,A. Cresswell,M. Noble,A. Cresswell,A. Cresswell,25.91,25.36,Euros-51.5M,London Stadium,Millwall,https://fbref.com/en/squads/7c21e445/history/West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stat,M,1993-1994,2019-2020,27,0,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/7c21e445.png
9,9,https://cdn.sofifa.com/teams/110/light_60.png,Wolverhampton Wanderers, English Premier League (1),78,79,79,78,Balanced,Balanced,C. Coady,Rúben Neves,João Moutinho,Rúben Neves,Rúben Neves,R. Jiménez,João Moutinho,João Moutinho,26.64,22.52,Euros-42M,Molineux Stadium,West Bromwich Albion,https://fbref.com/en/squads/8cec06e1/history/Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stat,M,2001-2002,2019-2020,19,3,,https://d2p3bygnnzw9w3.cloudfront.net/req/202004233/tlogo/fb/8cec06e1.png
