,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Aaron Ramsdale, ENG,GK,21,28,28,"2,520",/en/players/466fb2c5/matchlogs/2019-2020/Aaron-Ramsdale-Match-Logs
1,Callum Wilson, ENG,FW,27,28,26,"2,350",/en/players/c596fcb0/matchlogs/2019-2020/Callum-Wilson-Match-Logs
2,Philip Billing,DEN,MF,23,27,25,"2,166",/en/players/d328a254/matchlogs/2019-2020/Philip-Billing-Match-Logs
3,Nathan Aké,NED,DF,24,23,23,"2,015",/en/players/eaeca114/matchlogs/2019-2020/Nathan-Ake-Match-Logs
4,Jefferson Lerma,COL,MF,24,24,22,"1,945",/en/players/9b5ce51a/matchlogs/2019-2020/Jefferson-Lerma-Match-Logs
5,Steve Cook, ENG,DF,28,22,22,"1,849",/en/players/3e5e4e63/matchlogs/2019-2020/Steve-Cook-Match-Logs
6,Ryan Fraser, SCO,"MF,FW",25,28,21,"2,063",/en/players/d56543a0/matchlogs/2019-2020/Ryan-Fraser-Match-Logs
7,Diego Rico,ESP,DF,26,21,21,"1,795",/en/players/d9ba39fc/matchlogs/2019-2020/Diego-Rico-Match-Logs
8,Harry Wilson, WAL,"MF,FW",22,23,19,"1,446",/en/players/c6dc9ecd/matchlogs/2019-2020/Harry-Wilson-Match-Logs
9,Adam Smith, ENG,DF,28,18,18,"1,560",/en/players/20b104bc/matchlogs/2019-2020/Adam-Smith-Match-Logs
10,Joshua King,NOR,"FW,MF",27,19,17,"1,467",/en/players/43458538/matchlogs/2019-2020/Joshua-King-Match-Logs
11,Dominic Solanke, ENG,"FW,MF",21,24,12,"1,179",/en/players/e77dc3b2/matchlogs/2019-2020/Dominic-Solanke-Match-Logs
12,Jack Stacey, ENG,DF,23,12,12,"1,068",/en/players/558807c0/matchlogs/2019-2020/Jack-Stacey-Match-Logs
13,Lewis Cook, ENG,MF,22,20,11,"1,004",/en/players/2afc7272/matchlogs/2019-2020/Lewis-Cook-Match-Logs
14,Simon Francis, ENG,DF,34,15,10,964,/en/players/1e0b6a73/matchlogs/2019-2020/Simon-Francis-Match-Logs
15,Chris Mepham, WAL,DF,21,11,10,900,/en/players/fed96827/matchlogs/2019-2020/Chris-Mepham-Match-Logs
16,Dan Gosling, ENG,MF,29,16,10,883,/en/players/7fec31a0/matchlogs/2019-2020/Dan-Gosling-Match-Logs
17,Arnaut Groeneveld,NED,MF,22,9,4,407,/en/players/f08490a6/matchlogs/2019-2020/Arnaut-Groeneveld-Match-Logs
18,Andrew Surman, ENG,MF,32,5,2,234,/en/players/7d41b619/matchlogs/2019-2020/Andrew-Surman-Match-Logs
19,Junior Stanislas, ENG,"MF,FW",29,6,2,223,/en/players/6992791d/matchlogs/2019-2020/Junior-Stanislas-Match-Logs
20,Charlie Daniels, ENG,DF,32,2,2,127,/en/players/9d107085/matchlogs/2019-2020/Charlie-Daniels-Match-Logs
21,Jack Simpson, ENG,DF,22,4,1,238,/en/players/76fa5f80/matchlogs/2019-2020/Jack-Simpson-Match-Logs
22,Mark Travers,IRL,GK,20,1,1,90,/en/players/fe558029/matchlogs/2019-2020/Mark-Travers-Match-Logs
23,Jordon Ibe, ENG,DF,23,2,0,48,/en/players/9f736ed2/matchlogs/2019-2020/Jordon-Ibe-Match-Logs
24,Sam Surridge, ENG,FW,21,1,0,15,/en/players/b017b770/matchlogs/2019-2020/Sam-Surridge-Match-Logs
25,Artur Boruc,POL,GK,39,0,0,,/en/players/34ccf6fa/matchlogs/2019-2020/Artur-Boruc-Match-Logs
26,Mihai Dobre,ROU,MF,20,0,0,,/en/players/a1f3f5a0/matchlogs/2019-2020/Mihai-Dobre-Match-Logs
27,Lloyd Kelly, ENG,DF,20,0,0,,/en/players/f31def1e/matchlogs/2019-2020/Lloyd-Kelly-Match-Logs
28,Gavin Kilkenny,IRL,MF,19,0,0,,/en/players/3eeda7dd/matchlogs/2019-2020/Gavin-Kilkenny-Match-Logs
29,Christain Saydee,LBR,MF,17,0,0,,/en/players/af102dc3/matchlogs/2019-2020/Christain-Saydee-Match-Logs
