,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Bernd Leno,GER,GK,27,28,28,"2,520",/en/players/2628fd2b/matchlogs/2019-2020/Bernd-Leno-Match-Logs
1,Pierre-Emerick Aubameyang,GAB,FW,30,26,26,"2,304",/en/players/d5dd5f1f/matchlogs/2019-2020/Pierre-Emerick-Aubameyang-Match-Logs
2,David Luiz,BRA,DF,32,25,25,"2,185",/en/players/c0e27d1a/matchlogs/2019-2020/David-Luiz-Match-Logs
3,Granit Xhaka,SUI,MF,26,22,22,"1,908",/en/players/e61b8aee/matchlogs/2019-2020/Granit-Xhaka-Match-Logs
4,Sokratis Papastathopoulos,GRE,DF,31,19,19,"1,697",/en/players/b682dcf6/matchlogs/2019-2020/Sokratis-Papastathopoulos-Match-Logs
5,Mesut Özil,GER,MF,30,18,18,"1,449",/en/players/16380240/matchlogs/2019-2020/Mesut-Ozil-Match-Logs
6,Nicolas Pépé,CIV,FW,24,24,17,"1,594",/en/players/57e3f0c7/matchlogs/2019-2020/Nicolas-Pepe-Match-Logs
7,Mattéo Guendouzi,FRA,MF,20,22,17,"1,591",/en/players/5ea8ef20/matchlogs/2019-2020/Matteo-Guendouzi-Match-Logs
8,Lucas Torreira,URU,MF,23,24,15,"1,371",/en/players/52611641/matchlogs/2019-2020/Lucas-Torreira-Match-Logs
9,Alexandre Lacazette,FRA,FW,28,20,15,"1,318",/en/players/9dbb75ca/matchlogs/2019-2020/Alexandre-Lacazette-Match-Logs
10,Ainsley Maitland-Niles, ENG,DF,21,14,14,"1,210",/en/players/e3a5814e/matchlogs/2019-2020/Ainsley-Maitland-Niles-Match-Logs
11,Sead Kolašinac,BIH,DF,26,17,13,"1,107",/en/players/3935e52e/matchlogs/2019-2020/Sead-Kolasinac-Match-Logs
12,Calum Chambers, ENG,DF,24,14,13,"1,103",/en/players/dc6f5bdd/matchlogs/2019-2020/Calum-Chambers-Match-Logs
13,Bukayo Saka, ENG,"DF,FW",17,18,12,"1,174",/en/players/bc7dc64d/matchlogs/2019-2020/Bukayo-Saka-Match-Logs
14,Dani Ceballos,ESP,MF,22,14,10,912,/en/players/c0617e2b/matchlogs/2019-2020/Dani-Ceballos-Match-Logs
15,Héctor Bellerín,ESP,DF,24,8,7,624,/en/players/f874dd44/matchlogs/2019-2020/Hector-Bellerin-Match-Logs
16,Martinelli,BRA,FW,18,14,6,656,/en/players/48a5a5d6/matchlogs/2019-2020/Martinelli-Match-Logs
17,Shkodran Mustafi,GER,DF,27,8,6,620,/en/players/3f2d59fe/matchlogs/2019-2020/Shkodran-Mustafi-Match-Logs
18,Joe Willock, ENG,MF,19,19,6,574,/en/players/a3b03921/matchlogs/2019-2020/Joe-Willock-Match-Logs
19,Reiss Nelson, ENG,FW,19,11,5,460,/en/players/c5bdb6e3/matchlogs/2019-2020/Reiss-Nelson-Match-Logs
20,Kieran Tierney, SCO,DF,22,5,4,299,/en/players/fce2302c/matchlogs/2019-2020/Kieran-Tierney-Match-Logs
21,Nacho Monreal,ESP,DF,33,3,3,270,/en/players/d4cb83cc/matchlogs/2019-2020/Nacho-Monreal-Match-Logs
22,Eddie Nketiah, ENG,FW,20,5,3,251,/en/players/a53649b7/matchlogs/2019-2020/Eddie-Nketiah-Match-Logs
23,Henrikh Mkhitaryan,ARM,FW,30,3,1,111,/en/players/dd0daf32/matchlogs/2019-2020/Henrikh-Mkhitaryan-Match-Logs
24,Emile Smith-Rowe, ENG,MF,19,2,1,97,/en/players/17695062/matchlogs/2019-2020/Emile-Smith-Rowe-Match-Logs
25,Pablo Marí,ESP,DF,25,1,1,90,/en/players/aa54ec6f/matchlogs/2019-2020/Pablo-Mari-Match-Logs
26,Rob Holding, ENG,"DF,FW",23,2,1,86,/en/players/d79a8c87/matchlogs/2019-2020/Rob-Holding-Match-Logs
27,Tyreece John-Jules, ENG,FW,18,0,0,,/en/players/247e5cfc/matchlogs/2019-2020/Tyreece-John-Jules-Match-Logs
28,Emiliano Martínez,ARG,GK,26,0,0,,/en/players/7956236f/matchlogs/2019-2020/Emiliano-Martinez-Match-Logs
29,Konstantinos Mavropanos,GRE,DF,21,0,0,,/en/players/00963611/matchlogs/2019-2020/Konstantinos-Mavropanos-Match-Logs
