,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Leah Williamson, ENG,"DF,MF",22,15,15,"1,293",/en/players/9a40ae1f/matchlogs/2019-2020/Leah-Williamson-Match-Logs
1,Daniëlle van de Donk,NED,"FW,MF",27,15,14,"1,277",/en/players/6876815f/matchlogs/2019-2020/Danielle-van-de-Donk-Match-Logs
2,Lisa Evans, SCO,"DF,FW",27,15,14,"1,267",/en/players/755ef87c/matchlogs/2019-2020/Lisa-Evans-Match-Logs
3,Vivianne Miedema,NED,FW,23,14,14,"1,228",/en/players/fa4e4c0a/matchlogs/2019-2020/Vivianne-Miedema-Match-Logs
4,Manuela Zinsberger,AUT,GK,23,12,12,"1,080",/en/players/c7dc2a33/matchlogs/2019-2020/Manuela-Zinsberger-Match-Logs
5,Kim Little, SCO,MF,29,12,12,"1,056",/en/players/bef86627/matchlogs/2019-2020/Kim-Little-Match-Logs
6,Katie McCabe,IRL,DF,23,13,12,"1,047",/en/players/cb3a3ff4/matchlogs/2019-2020/Katie-McCabe-Match-Logs
7,Jordan Nobbs, ENG,MF,26,14,12,"1,042",/en/players/2225335c/matchlogs/2019-2020/Jordan-Nobbs-Match-Logs
8,Beth Mead, ENG,FW,24,14,11,977,/en/players/921c8f1d/matchlogs/2019-2020/Beth-Mead-Match-Logs
9,Viktoria Schnaderbeck,AUT,DF,28,10,10,877,/en/players/51d0ba7e/matchlogs/2019-2020/Viktoria-Schnaderbeck-Match-Logs
10,Jill Roord,NED,"MF,FW",22,14,9,844,/en/players/443146ab/matchlogs/2019-2020/Jill-Roord-Match-Logs
11,Jennifer Beattie, SCO,DF,28,10,9,822,/en/players/bd8b51ce/matchlogs/2019-2020/Jennifer-Beattie-Match-Logs
12,Lia Wälti,SUI,MF,26,10,9,794,/en/players/5410bdaa/matchlogs/2019-2020/Lia-Walti-Match-Logs
13,Leonie Maier,GER,DF,26,13,6,681,/en/players/bff94098/matchlogs/2019-2020/Leonie-Maier-Match-Logs
14,Pauline Peyraud Magnin,FRA,GK,27,3,3,270,/en/players/c6876fd6/matchlogs/2019-2020/Pauline-Peyraud-Magnin-Match-Logs
15,Louise Quinn,IRL,DF,29,6,3,262,/en/players/4aa73137/matchlogs/2019-2020/Louise-Quinn-Match-Logs
16,Emma Mitchell, SCO,"FW,DF",26,2,0,32,/en/players/0bf3e7fe/matchlogs/2019-2020/Emma-Mitchell-Match-Logs
17,Melisa Filis, ENG,FW,17,1,0,1,/en/players/a07a7a88/matchlogs/2019-2020/Melisa-Filis-Match-Logs
18,Ruby Grant, ENG,MF,17,0,0,,/en/players/fc1149cc/matchlogs/2019-2020/Ruby-Grant-Match-Logs
19,Ruby Mace, ENG,DF,15,0,0,,/en/players/e5a62c31/matchlogs/2019-2020/Ruby-Mace-Match-Logs
20,Katrine Veje,DEN,MF,28,0,0,,/en/players/613c3da2/matchlogs/2019-2020/Katrine-Veje-Match-Logs
