,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Jack Grealish, ENG,"FW,MF",23,26,26,"2,334",/en/players/b0b4fd3e/matchlogs/2019-2020/Jack-Grealish-Match-Logs
1,Tyrone Mings, ENG,DF,26,23,23,"2,003",/en/players/8397a50c/matchlogs/2019-2020/Tyrone-Mings-Match-Logs
2,Frederic Guilbert,FRA,DF,24,23,21,"1,900",/en/players/5d8d7454/matchlogs/2019-2020/Frederic-Guilbert-Match-Logs
3,Wesley Moraes,BRA,FW,22,21,21,"1,790",/en/players/bfae110f/matchlogs/2019-2020/Wesley-Moraes-Match-Logs
4,Anwar El Ghazi,NED,"FW,MF",24,25,21,"1,684",/en/players/ffa90327/matchlogs/2019-2020/Anwar-El-Ghazi-Match-Logs
5,Tom Heaton, ENG,GK,33,20,20,"1,795",/en/players/a6de6361/matchlogs/2019-2020/Tom-Heaton-Match-Logs
6,Matt Targett, ENG,DF,23,20,20,"1,691",/en/players/e514ab62/matchlogs/2019-2020/Matt-Targett-Match-Logs
7,Douglas Luiz,BRA,MF,21,26,18,"1,714",/en/players/6f7d826d/matchlogs/2019-2020/Douglas-Luiz-Match-Logs
8,Marvelous Nakamba,ZIM,MF,25,21,18,"1,634",/en/players/de5b5570/matchlogs/2019-2020/Marvelous-Nakamba-Match-Logs
9,John McGinn, SCO,MF,24,18,18,"1,538",/en/players/90f91999/matchlogs/2019-2020/John-McGinn-Match-Logs
10,Björn Engels,BEL,DF,24,17,15,"1,447",/en/players/4fdf1fd9/matchlogs/2019-2020/Bjorn-Engels-Match-Logs
11,Ezri Konsa, ENG,DF,21,15,14,"1,199",/en/players/0313a347/matchlogs/2019-2020/Ezri-Konsa-Match-Logs
12,Trézéguet,EGY,"FW,MF",24,24,13,"1,324",/en/players/3ae14ed1/matchlogs/2019-2020/Trezeguet-Match-Logs
13,Kortney Hause, ENG,DF,24,11,11,990,/en/players/bf8fad51/matchlogs/2019-2020/Kortney-Hause-Match-Logs
14,Conor Hourihane,IRL,MF,28,18,11,948,/en/players/fcab00a0/matchlogs/2019-2020/Conor-Hourihane-Match-Logs
15,Neil Taylor, WAL,DF,30,10,8,793,/en/players/c2f9d19f/matchlogs/2019-2020/Neil-Taylor-Match-Logs
16,Ahmed Elmohamady,EGY,DF,31,12,8,764,/en/players/615ef733/matchlogs/2019-2020/Ahmed-Elmohamady-Match-Logs
17,Pepe Reina,ESP,GK,36,6,6,540,/en/players/e358587b/matchlogs/2019-2020/Pepe-Reina-Match-Logs
18,Mbwana Samatta,TAN,FW,26,4,4,353,/en/players/dae8623e/matchlogs/2019-2020/Mbwana-Samatta-Match-Logs
19,Jota,ESP,"FW,MF",28,8,4,313,/en/players/9f351459/matchlogs/2019-2020/Jota-Match-Logs
20,Danny Drinkwater, ENG,MF,29,4,4,263,/en/players/2649ff32/matchlogs/2019-2020/Danny-Drinkwater-Match-Logs
21,Henri Lansbury, ENG,MF,28,9,2,189,/en/players/fe8e6fa1/matchlogs/2019-2020/Henri-Lansbury-Match-Logs
22,Ørjan Nyland,NOR,GK,28,3,1,177,/en/players/bdedffac/matchlogs/2019-2020/Orjan-Nyland-Match-Logs
23,Jed Steer, ENG,GK,26,1,1,8,/en/players/a8a3d139/matchlogs/2019-2020/Jed-Steer-Match-Logs
24,Keinan Davis, ENG,FW,21,8,0,129,/en/players/9deaf2c8/matchlogs/2019-2020/Keinan-Davis-Match-Logs
25,Jonathan Kodjia,CIV,"FW,MF",29,6,0,111,/en/players/ecf44e09/matchlogs/2019-2020/Jonathan-Kodjia-Match-Logs
26,Indiana Vassilev,USA,FW,18,2,0,36,/en/players/04e195ee/matchlogs/2019-2020/Indiana-Vassilev-Match-Logs
27,Borja Bastón,ESP,"MF,FW",26,2,0,16,/en/players/8c44e37b/matchlogs/2019-2020/Borja-Baston-Match-Logs
28,James Chester, WAL,DF,30,0,0,,/en/players/a772eba6/matchlogs/2019-2020/James-Chester-Match-Logs
29,Lovre Kalinić,CRO,GK,29,0,0,,/en/players/3a74f92b/matchlogs/2019-2020/Lovre-Kalinic-Match-Logs
