,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Hannah Hampton, ENG,GK,18,13,13,"1,170",/en/players/87f3ffa4/matchlogs/2019-2020/Hannah-Hampton-Match-Logs
1,Adrienne Jordan,USA,DF,25,13,13,"1,170",/en/players/f34c301f/matchlogs/2019-2020/Adrienne-Jordan-Match-Logs
2,Abbi Grant, SCO,"FW,MF",23,13,13,"1,077",/en/players/a78931f2/matchlogs/2019-2020/Abbi-Grant-Match-Logs
3,Chloe Arthur, SCO,MF,24,12,12,"1,068",/en/players/e91e309c/matchlogs/2019-2020/Chloe-Arthur-Match-Logs
4,Rebecca Holloway, NIR,DF,23,11,11,975,/en/players/c50ff385/matchlogs/2019-2020/Rebecca-Holloway-Match-Logs
5,Lucy Whipp, ENG,MF,23,13,11,947,/en/players/3795257f/matchlogs/2019-2020/Lucy-Whipp-Match-Logs
6,Lucy Staniforth, ENG,MF,26,10,10,900,/en/players/2ee41ad7/matchlogs/2019-2020/Lucy-Staniforth-Match-Logs
7,Claudia Walker, ENG,FW,23,13,10,899,/en/players/fcdb5047/matchlogs/2019-2020/Claudia-Walker-Match-Logs
8,Rachel Williams, ENG,FW,31,10,9,814,/en/players/2fa8aa92/matchlogs/2019-2020/Rachel-Williams-Match-Logs
9,Harriet Scott,IRL,DF,26,11,9,793,/en/players/9ea4f36a/matchlogs/2019-2020/Harriet-Scott-Match-Logs
10,Sarah Mayling, ENG,"DF,FW",22,9,8,721,/en/players/5aad26a6/matchlogs/2019-2020/Sarah-Mayling-Match-Logs
11,Brianna Visalli,USA,"MF,FW",24,9,7,625,/en/players/bbdfa558/matchlogs/2019-2020/Brianna-Visalli-Match-Logs
12,Kerys Harrop, ENG,DF,28,7,6,555,/en/players/c6966699/matchlogs/2019-2020/Kerys-Harrop-Match-Logs
13,Lily Simkin,,DF,,6,4,413,/en/players/c5f14319/matchlogs/2019-2020/Lily-Simkin-Match-Logs
14,Connie Scofield, ENG,"MF,FW",20,9,3,364,/en/players/192b4396/matchlogs/2019-2020/Connie-Scofield-Match-Logs
15,Georgia Brougham, ENG,DF,23,2,2,180,/en/players/052a7107/matchlogs/2019-2020/Georgia-Brougham-Match-Logs
16,Emma Rose Kelly, ENG,"MF,FW",22,3,1,112,/en/players/b7242088/matchlogs/2019-2020/Emma-Rose-Kelly-Match-Logs
17,Freya Gregory,,FW,,3,1,84,/en/players/08ebd353/matchlogs/2019-2020/Freya-Gregory-Match-Logs
18,Laura Brown, ENG,FW,15,1,0,3,/en/players/9973fa94/matchlogs/2019-2020/Laura-Brown-Match-Logs
19,Alexandra Brooks, ENG,GK,24,0,0,,/en/players/7907e105/matchlogs/2019-2020/Alexandra-Brooks-Match-Logs
20,Missy Goodwin,,MF,,0,0,,/en/players/7f563c66/matchlogs/2019-2020/Missy-Goodwin-Match-Logs
21,Abbey Jones,,MF,,0,0,,/en/players/580bd02f/matchlogs/2019-2020/Abbey-Jones-Match-Logs
22,Ella Powell,,MF,,0,0,,/en/players/4ae3ebc7/matchlogs/2019-2020/Ella-Powell-Match-Logs
23,Powell Powell,,MF,,0,0,,/en/players/3bc8ffc8/matchlogs/2019-2020/Powell-Powell-Match-Logs
24,Olivia Rabjohn,,MF,,0,0,,/en/players/609373ef/matchlogs/2019-2020/Olivia-Rabjohn-Match-Logs
25,Firatcan Üzüm,TUR,MF,20,0,0,,/en/players/60ab822b/matchlogs/2019-2020/Firatcan-Uzum-Match-Logs
