,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Mathew Ryan,AUS,GK,27,29,29,"2,610",/en/players/4535e4bb/matchlogs/2019-2020/Mathew-Ryan-Match-Logs
1,Lewis Dunk, ENG,DF,27,27,27,"2,430",/en/players/282f75f3/matchlogs/2019-2020/Lewis-Dunk-Match-Logs
2,Davy Pröpper,NED,MF,27,26,26,"2,340",/en/players/fdd85f94/matchlogs/2019-2020/Davy-Propper-Match-Logs
3,Dan Burn, ENG,DF,27,25,25,"2,149",/en/players/b2d31e83/matchlogs/2019-2020/Dan-Burn-Match-Logs
4,Neal Maupay,FRA,FW,22,28,23,"2,114",/en/players/4bcf39f6/matchlogs/2019-2020/Neal-Maupay-Match-Logs
5,Adam Webster, ENG,DF,24,23,23,"2,016",/en/players/c40b6180/matchlogs/2019-2020/Adam-Webster-Match-Logs
6,Dale Stephens, ENG,MF,30,24,22,"1,944",/en/players/653ee42d/matchlogs/2019-2020/Dale-Stephens-Match-Logs
7,Martín Montoya,ESP,DF,28,23,21,"1,711",/en/players/5cec2487/matchlogs/2019-2020/Martin-Montoya-Match-Logs
8,Aaron Mooy,AUS,"MF,FW",28,22,20,"1,658",/en/players/47b7e3af/matchlogs/2019-2020/Aaron-Mooy-Match-Logs
9,Pascal Groß,GER,"MF,FW",28,23,18,"1,492",/en/players/8aec0537/matchlogs/2019-2020/Pascal-Gross-Match-Logs
10,Leandro Trossard,BEL,"FW,MF",24,23,16,"1,444",/en/players/38ceb24a/matchlogs/2019-2020/Leandro-Trossard-Match-Logs
11,Steven Alzate,COL,"MF,DF",20,19,12,"1,183",/en/players/ad1f61f3/matchlogs/2019-2020/Steven-Alzate-Match-Logs
12,Shane Duffy,IRL,DF,27,15,11,"1,071",/en/players/7314bba4/matchlogs/2019-2020/Shane-Duffy-Match-Logs
13,Solly March, ENG,"DF,FW",25,13,9,885,/en/players/bb5fbd2b/matchlogs/2019-2020/Solly-March-Match-Logs
14,Aaron Connolly,IRL,FW,19,17,9,834,/en/players/27c01749/matchlogs/2019-2020/Aaron-Connolly-Match-Logs
15,Yves Bissouma,MLI,MF,22,13,8,667,/en/players/6c203af0/matchlogs/2019-2020/Yves-Bissouma-Match-Logs
16,Glenn Murray, ENG,FW,35,19,6,704,/en/players/f2f29dda/matchlogs/2019-2020/Glenn-Murray-Match-Logs
17,Bernardo,BRA,DF,24,10,6,541,/en/players/17370b95/matchlogs/2019-2020/Bernardo-Match-Logs
18,Ezequiel Schelotto,ITA,DF,30,8,3,290,/en/players/a6e316c1/matchlogs/2019-2020/Ezequiel-Schelotto-Match-Logs
19,Alireza Jahanbakhsh,IRN,"FW,MF",25,8,3,287,/en/players/08452314/matchlogs/2019-2020/Alireza-Jahanbakhsh-Match-Logs
20,Jürgen Locadia,NED,"MF,FW",25,2,1,86,/en/players/6cc47ae1/matchlogs/2019-2020/Jurgen-Locadia-Match-Logs
21,Florin Andone,ROU,"MF,FW",26,3,1,71,/en/players/dc008610/matchlogs/2019-2020/Florin-Andone-Match-Logs
22,Gaëtan Bong,CMR,"MF,DF",31,4,0,56,/en/players/cfd5e123/matchlogs/2019-2020/Gaetan-Bong-Match-Logs
23,Alexis Mac Allister,ARG,FW,20,1,0,10,/en/players/83d074ff/matchlogs/2019-2020/Alexis-Mac-Allister-Match-Logs
24,Leon Balogun,NGA,DF,31,0,0,,/en/players/78e68b4d/matchlogs/2019-2020/Leon-Balogun-Match-Logs
25,Tudor Băluță,ROU,"DF,MF",20,0,0,,/en/players/ed33f42d/matchlogs/2019-2020/Tudor-Baluta-Match-Logs
26,David Button, ENG,GK,30,0,0,,/en/players/e608ed4c/matchlogs/2019-2020/David-Button-Match-Logs
