,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Aileen Whelan, ENG,"MF,FW",27,16,16,"1,424",/en/players/11c33ab6/matchlogs/2019-2020/Aileen-Whelan-Match-Logs
1,Danielle Buet, ENG,MF,30,16,16,"1,343",/en/players/ce9db81a/matchlogs/2019-2020/Danielle-Buet-Match-Logs
2,Felicity Gibbons, ENG,DF,25,15,15,"1,350",/en/players/6357bee3/matchlogs/2019-2020/Felicity-Gibbons-Match-Logs
3,Megan Walsh, ENG,GK,,15,15,"1,350",/en/players/8694b82e/matchlogs/2019-2020/Megan-Walsh-Match-Logs
4,Kayleigh Green, WAL,"FW,MF",31,16,14,"1,263",/en/players/a40b9d09/matchlogs/2019-2020/Kayleigh-Green-Match-Logs
5,Léa Le Garrec,FRA,"MF,FW",26,15,14,"1,182",/en/players/9533489c/matchlogs/2019-2020/Lea-Le-Garrec-Match-Logs
6,Danique Kerkdijk,NED,DF,23,14,13,"1,171",/en/players/b04bd0b8/matchlogs/2019-2020/Danique-Kerkdijk-Match-Logs
7,Victoria Williams, ENG,DF,29,12,11,"1,000",/en/players/fd4f768b/matchlogs/2019-2020/Victoria-Williams-Match-Logs
8,Kirsty Barton, ENG,DF,27,10,10,900,/en/players/7c6d13ea/matchlogs/2019-2020/Kirsty-Barton-Match-Logs
9,Emily Simpkins, ENG,MF,29,10,8,603,/en/players/6648899b/matchlogs/2019-2020/Emily-Simpkins-Match-Logs
10,Maya Le Tissier, ENG,"DF,MF",17,12,7,785,/en/players/087316e6/matchlogs/2019-2020/Maya-Le-Tissier-Match-Logs
11,Iniabasi Umotong,NGA,"FW,MF",25,14,6,632,/en/players/73699805/matchlogs/2019-2020/Iniabasi-Umotong-Match-Logs
12,Megan Connolly,IRL,MF,22,9,6,598,/en/players/afed2d24/matchlogs/2019-2020/Megan-Connolly-Match-Logs
13,Matilde Lundorf,DEN,"DF,MF",20,8,6,592,/en/players/692a8fce/matchlogs/2019-2020/Matilde-Lundorf-Match-Logs
14,Ellie Brazil, ENG,"FW,MF",20,6,6,453,/en/players/50000805/matchlogs/2019-2020/Ellie-Brazil-Match-Logs
15,Amanda Nildén,SWE,"MF,FW",20,10,5,398,/en/players/ede1eaea/matchlogs/2019-2020/Amanda-Nilden-Match-Logs
16,Kate Natkiel, ENG,MF,26,7,4,388,/en/players/b428e192/matchlogs/2019-2020/Kate-Natkiel-Match-Logs
17,Fern Whelan, ENG,DF,30,3,3,259,/en/players/ea0eebef/matchlogs/2019-2020/Fern-Whelan-Match-Logs
18,Sophie Harris, ENG,GK,24,1,1,90,/en/players/63c09eda/matchlogs/2019-2020/Sophie-Harris-Match-Logs
19,Libby Bance,,MF,,0,0,,/en/players/e50f3e03/matchlogs/2019-2020/Libby-Bance-Match-Logs
20,Maxime Bennink,NED,DF,22,0,0,,/en/players/7dce3e0b/matchlogs/2019-2020/Maxime-Bennink-Match-Logs
21,Cecilie Fiskerstrand,NOR,GK,23,0,0,,/en/players/2e2266ba/matchlogs/2019-2020/Cecilie-Fiskerstrand-Match-Logs
22,Eleanor Hack, ENG,DF,17,0,0,,/en/players/cef8770c/matchlogs/2019-2020/Eleanor-Hack-Match-Logs
23,Rianna Jarrett,IRL,FW,20,0,0,,/en/players/ad121296/matchlogs/2019-2020/Rianna-Jarrett-Match-Logs
24,Bethan Roe, ENG,DF,,0,0,,/en/players/1f412db9/matchlogs/2019-2020/Bethan-Roe-Match-Logs
