,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Sophie Baggaley, ENG,GK,22,14,14,"1,260",/en/players/410be8c7/matchlogs/2019-2020/Sophie-Baggaley-Match-Logs
1,Yana Daniels,BEL,"MF,FW",27,14,13,"1,174",/en/players/b33b4a16/matchlogs/2019-2020/Yana-Daniels-Match-Logs
2,Jasmine Matthews, ENG,"DF,MF",26,13,13,"1,170",/en/players/208e9d61/matchlogs/2019-2020/Jasmine-Matthews-Match-Logs
3,Charlie Wellings, ENG,"FW,MF",21,13,13,"1,158",/en/players/af308521/matchlogs/2019-2020/Charlie-Wellings-Match-Logs
4,Frankie Brown, SCO,"MF,DF",31,13,13,"1,145",/en/players/5613c4f9/matchlogs/2019-2020/Frankie-Brown-Match-Logs
5,Meaghan Sargeant, ENG,DF,25,12,12,"1,054",/en/players/030e6560/matchlogs/2019-2020/Meaghan-Sargeant-Match-Logs
6,Gemma Evans, WAL,DF,22,12,11,"1,009",/en/players/58e461be/matchlogs/2019-2020/Gemma-Evans-Match-Logs
7,Olivia Chance,NZL,"MF,FW",25,14,10,"1,018",/en/players/e9a94833/matchlogs/2019-2020/Olivia-Chance-Match-Logs
8,Loren Dykes, WAL,DF,31,11,10,841,/en/players/67bb6983/matchlogs/2019-2020/Loren-Dykes-Match-Logs
9,Carla Humphrey, ENG,"MF,DF",22,8,8,689,/en/players/341633fc/matchlogs/2019-2020/Carla-Humphrey-Match-Logs
10,Ebony Salmon, ENG,"FW,MF",18,14,7,746,/en/players/63667d66/matchlogs/2019-2020/Ebony-Salmon-Match-Logs
11,Poppy Pattinson, ENG,DF,19,6,6,529,/en/players/eced0e75/matchlogs/2019-2020/Poppy-Pattinson-Match-Logs
12,Georgia Wilson,,MF,,8,5,397,/en/players/177a82f4/matchlogs/2019-2020/Georgia-Wilson-Match-Logs
13,Abigail Harrison, SCO,FW,21,6,5,358,/en/players/f39ee5a1/matchlogs/2019-2020/Abigail-Harrison-Match-Logs
14,Flo Allen, ENG,"DF,MF",19,6,3,267,/en/players/05fae887/matchlogs/2019-2020/Flo-Allen-Match-Logs
15,Katie Robinson, ENG,"FW,DF",16,10,3,261,/en/players/9809a8d0/matchlogs/2019-2020/Katie-Robinson-Match-Logs
16,Faye Bryson, ENG,DF,,3,2,205,/en/players/0d10692c/matchlogs/2019-2020/Faye-Bryson-Match-Logs
17,Elise Hughes, WAL,"MF,FW",18,3,2,163,/en/players/f38faa55/matchlogs/2019-2020/Elise-Hughes-Match-Logs
18,Jeon Ga-eul,KOR,"MF,FW",30,2,2,121,/en/players/a0e999a4/matchlogs/2019-2020/Jeon-Ga-eul-Match-Logs
19,Chloe Logarzo,AUS,MF,24,1,1,90,/en/players/40a0bec9/matchlogs/2019-2020/Chloe-Logarzo-Match-Logs
20,Vita van der Linden,NED,MF,22,1,1,51,/en/players/ef689703/matchlogs/2019-2020/Vita-van-der-Linden-Match-Logs
21,Megan Wynne, WAL,"FW,MF",26,3,0,121,/en/players/f3b63087/matchlogs/2019-2020/Megan-Wynne-Match-Logs
22,Maisy Collis,,MF,,1,0,33,/en/players/b02d0602/matchlogs/2019-2020/Maisy-Collis-Match-Logs
23,Kirsten Reilly, SCO,FW,23,1,0,,/en/players/7948e06a/matchlogs/2019-2020/Kirsten-Reilly-Match-Logs
24,Eartha Cumings, SCO,GK,20,0,0,,/en/players/897b3f34/matchlogs/2019-2020/Eartha-Cumings-Match-Logs
25,Ellen Jones, ENG,MF,16,0,0,,/en/players/bde1add6/matchlogs/2019-2020/Ellen-Jones-Match-Logs
26,Ellie-Mai Sanford, WAL,DF,17,0,0,,/en/players/ed51ed08/matchlogs/2019-2020/Ellie-Mai-Sanford-Match-Logs
27,Ellie Strippel, ENG,MF,,0,0,,/en/players/6b28c1b3/matchlogs/2019-2020/Ellie-Strippel-Match-Logs
