,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Ben Mee, ENG,DF,29,29,29,"2,610",/en/players/8df7a2fb/matchlogs/2019-2020/Ben-Mee-Match-Logs
1,Nick Pope, ENG,GK,27,29,29,"2,610",/en/players/4b40d9ca/matchlogs/2019-2020/Nick-Pope-Match-Logs
2,James Tarkowski, ENG,DF,26,29,29,"2,610",/en/players/15ea812b/matchlogs/2019-2020/James-Tarkowski-Match-Logs
3,Dwight McNeil, ENG,MF,19,29,29,"2,535",/en/players/fc15fb84/matchlogs/2019-2020/Dwight-McNeil-Match-Logs
4,Jack Cork, ENG,MF,30,27,27,"2,368",/en/players/74e12f1e/matchlogs/2019-2020/Jack-Cork-Match-Logs
5,Ashley Westwood, ENG,MF,29,26,26,"2,340",/en/players/495945ef/matchlogs/2019-2020/Ashley-Westwood-Match-Logs
6,Chris Wood,NZL,FW,27,26,25,"2,069",/en/players/4e9a0555/matchlogs/2019-2020/Chris-Wood-Match-Logs
7,Jeff Hendrick,IRL,MF,27,24,22,"1,935",/en/players/989d5705/matchlogs/2019-2020/Jeff-Hendrick-Match-Logs
8,Ashley Barnes,AUT,FW,29,19,17,"1,361",/en/players/2691c772/matchlogs/2019-2020/Ashley-Barnes-Match-Logs
9,Charlie Taylor, ENG,DF,25,17,15,"1,376",/en/players/cc2d7ad5/matchlogs/2019-2020/Charlie-Taylor-Match-Logs
10,Matthew Lowton, ENG,DF,30,15,15,"1,350",/en/players/9a9c05db/matchlogs/2019-2020/Matthew-Lowton-Match-Logs
11,Phil Bardsley, SCO,DF,34,14,14,"1,260",/en/players/1ae30132/matchlogs/2019-2020/Phil-Bardsley-Match-Logs
12,Erik Pieters,NED,DF,30,15,14,"1,234",/en/players/1ef37668/matchlogs/2019-2020/Erik-Pieters-Match-Logs
13,Jay Rodriguez, ENG,FW,30,28,12,"1,379",/en/players/4ab53cdb/matchlogs/2019-2020/Jay-Rodriguez-Match-Logs
14,Robbie Brady,IRL,MF,27,14,5,396,/en/players/96bb8cc2/matchlogs/2019-2020/Robbie-Brady-Match-Logs
15,Aaron Lennon, ENG,MF,32,16,4,485,/en/players/2ff964a0/matchlogs/2019-2020/Aaron-Lennon-Match-Logs
16,Jóhann Berg Guðmundsson,ISL,MF,28,7,4,401,/en/players/f72293fc/matchlogs/2019-2020/Johann-Berg-Gudmundsson-Match-Logs
17,Matěj Vydra,CZE,FW,27,10,2,330,/en/players/0d4ceb32/matchlogs/2019-2020/Matej-Vydra-Match-Logs
18,Danny Drinkwater, ENG,MF,29,1,1,59,/en/players/2649ff32/matchlogs/2019-2020/Danny-Drinkwater-Match-Logs
19,Kevin Long,IRL,MF,28,1,0,2,/en/players/5a4280b1/matchlogs/2019-2020/Kevin-Long-Match-Logs
20,Josh Brownhill, ENG,MF,23,1,0,,/en/players/47369df8/matchlogs/2019-2020/Josh-Brownhill-Match-Logs
21,Anthony Driscoll-Glennon, ENG,DF,19,0,0,,/en/players/6a39bd42/matchlogs/2019-2020/Anthony-Driscoll-Glennon-Match-Logs
22,Ben Gibson, ENG,DF,26,0,0,,/en/players/bcfb0142/matchlogs/2019-2020/Ben-Gibson-Match-Logs
23,Mace Goodridge, ENG,MF,19,0,0,,/en/players/6abefdff/matchlogs/2019-2020/Mace-Goodridge-Match-Logs
24,Joe Hart, ENG,GK,32,0,0,,/en/players/cb4f24c6/matchlogs/2019-2020/Joe-Hart-Match-Logs
25,Ali Koiki, ENG,DF,18,0,0,,/en/players/82726be5/matchlogs/2019-2020/Ali-Koiki-Match-Logs
