,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Millie Bright, ENG,DF,25,15,15,"1,350",/en/players/22fccf20/matchlogs/2019-2020/Millie-Bright-Match-Logs
1,Bethany England, ENG,FW,25,15,15,"1,322",/en/players/ccb1bd8b/matchlogs/2019-2020/Bethany-England-Match-Logs
2,Sophie Ingle, WAL,MF,27,15,15,"1,269",/en/players/64623394/matchlogs/2019-2020/Sophie-Ingle-Match-Logs
3,Guro Reiten,NOR,"MF,FW",25,15,15,"1,213",/en/players/3d728957/matchlogs/2019-2020/Guro-Reiten-Match-Logs
4,Jonna Andersson,SWE,DF,26,15,14,"1,270",/en/players/5f50a940/matchlogs/2019-2020/Jonna-Andersson-Match-Logs
5,Magdalena Eriksson,SWE,DF,25,14,14,"1,260",/en/players/bb454bb1/matchlogs/2019-2020/Magdalena-Eriksson-Match-Logs
6,Maren Mjelde,NOR,"DF,MF",29,14,14,"1,259",/en/players/3bf287fc/matchlogs/2019-2020/Maren-Mjelde-Match-Logs
7,Ann-Katrin Berger,GER,GK,28,13,13,"1,170",/en/players/be9f3298/matchlogs/2019-2020/Ann-Katrin-Berger-Match-Logs
8,Erin Cuthbert, SCO,"MF,FW",21,14,12,"1,068",/en/players/76a887a9/matchlogs/2019-2020/Erin-Cuthbert-Match-Logs
9,Ji So-yun,KOR,MF,28,13,12,"1,005",/en/players/60d80b92/matchlogs/2019-2020/Ji-So-yun-Match-Logs
10,Drew Spence, ENG,"MF,FW",26,15,8,631,/en/players/8983fe4a/matchlogs/2019-2020/Drew-Spence-Match-Logs
11,Ramona Bachmann,SUI,"FW,MF",28,12,5,564,/en/players/28392158/matchlogs/2019-2020/Ramona-Bachmann-Match-Logs
12,Hannah Blundell, ENG,DF,25,8,4,414,/en/players/fe9eaddc/matchlogs/2019-2020/Hannah-Blundell-Match-Logs
13,Sam Kerr,AUS,"FW,MF",25,4,3,297,/en/players/6a435e8d/matchlogs/2019-2020/Sam-Kerr-Match-Logs
14,Fran Kirby, ENG,"MF,FW",26,4,2,194,/en/players/bd91e11f/matchlogs/2019-2020/Fran-Kirby-Match-Logs
15,Carly Telford, ENG,GK,32,2,2,180,/en/players/a428bcd0/matchlogs/2019-2020/Carly-Telford-Match-Logs
16,Jessica Carter, ENG,"MF,DF",21,8,1,166,/en/players/bb5e99fc/matchlogs/2019-2020/Jessica-Carter-Match-Logs
17,Adelina Engman,FIN,"FW,MF",24,2,1,81,/en/players/1cf9eca5/matchlogs/2019-2020/Adelina-Engman-Match-Logs
18,Maria Thorisdottir,NOR,MF,26,5,0,71,/en/players/8ee86892/matchlogs/2019-2020/Maria-Thorisdottir-Match-Logs
19,Deanna Cooper, ENG,MF,,1,0,28,/en/players/dffb640d/matchlogs/2019-2020/Deanna-Cooper-Match-Logs
20,Emily Murphy, ENG,"MF,FW",16,2,0,24,/en/players/2a91668a/matchlogs/2019-2020/Emily-Murphy-Match-Logs
21,Jamie-Lee Napier, SCO,"FW,MF",19,2,0,14,/en/players/18f952e0/matchlogs/2019-2020/Jamie-Lee-Napier-Match-Logs
22,Anita Asante, ENG,"DF,MF",34,0,0,,/en/players/3f052127/matchlogs/2019-2020/Anita-Asante-Match-Logs
23,Charlotte Fleming, ENG,MF,17,0,0,,/en/players/2673ebcf/matchlogs/2019-2020/Charlotte-Fleming-Match-Logs
24,Emily Orman, ENG,GK,16,0,0,,/en/players/24843ffe/matchlogs/2019-2020/Emily-Orman-Match-Logs
25,Charlotte Wardlaw, ENG,MF,16,0,0,,/en/players/390d3b41/matchlogs/2019-2020/Charlotte-Wardlaw-Match-Logs
