,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,César Azpilicueta,ESP,DF,29,27,27,"2,420",/en/players/53cad200/matchlogs/2019-2020/Cesar-Azpilicueta-Match-Logs
1,Mason Mount, ENG,"MF,FW",20,29,25,"2,302",/en/players/9674002f/matchlogs/2019-2020/Mason-Mount-Match-Logs
2,Kepa Arrizabalaga,ESP,GK,24,25,25,"2,250",/en/players/28d596a0/matchlogs/2019-2020/Kepa-Arrizabalaga-Match-Logs
3,Jorginho,ITA,MF,27,26,23,"2,015",/en/players/45db685d/matchlogs/2019-2020/Jorginho-Match-Logs
4,Tammy Abraham, ENG,FW,21,25,23,"1,945",/en/players/f586779e/matchlogs/2019-2020/Tammy-Abraham-Match-Logs
5,Willian,BRA,FW,30,28,21,"1,929",/en/players/8b9ebd03/matchlogs/2019-2020/Willian-Match-Logs
6,Kurt Zouma,FRA,DF,24,22,19,"1,803",/en/players/ce4246f5/matchlogs/2019-2020/Kurt-Zouma-Match-Logs
7,Mateo Kovačić,CRO,MF,25,25,18,"1,683",/en/players/79c0821a/matchlogs/2019-2020/Mateo-Kovacic-Match-Logs
8,N'Golo Kanté,FRA,MF,28,18,16,"1,385",/en/players/b9fbae28/matchlogs/2019-2020/NGolo-Kante-Match-Logs
9,Fikayo Tomori, ENG,DF,21,15,15,"1,293",/en/players/7edfbb8a/matchlogs/2019-2020/Fikayo-Tomori-Match-Logs
10,Andreas Christensen,DEN,DF,23,15,15,"1,257",/en/players/1cb49278/matchlogs/2019-2020/Andreas-Christensen-Match-Logs
11,Antonio Rüdiger,GER,DF,26,13,13,"1,125",/en/players/18b896d6/matchlogs/2019-2020/Antonio-Rudiger-Match-Logs
12,Emerson Palmieri,ITA,DF,24,14,13,"1,023",/en/players/e0bc6fdc/matchlogs/2019-2020/Emerson-Palmieri-Match-Logs
13,Christian Pulisic,USA,FW,20,16,12,"1,076",/en/players/1bf33a9a/matchlogs/2019-2020/Christian-Pulisic-Match-Logs
14,Reece James, ENG,DF,19,17,11,"1,065",/en/players/1265a93a/matchlogs/2019-2020/Reece-James-Match-Logs
15,Marcos Alonso,ESP,DF,28,11,9,858,/en/players/f4290206/matchlogs/2019-2020/Marcos-Alonso-Match-Logs
16,Ross Barkley, ENG,MF,25,13,8,675,/en/players/3a24769f/matchlogs/2019-2020/Ross-Barkley-Match-Logs
17,Pedro,ESP,FW,32,9,8,656,/en/players/3ca7254a/matchlogs/2019-2020/Pedro-Match-Logs
18,Callum Hudson-Odoi, ENG,FW,18,17,7,770,/en/players/15f3ec41/matchlogs/2019-2020/Callum-Hudson-Odoi-Match-Logs
19,Olivier Giroud,FRA,FW,32,9,5,442,/en/players/16ceb862/matchlogs/2019-2020/Olivier-Giroud-Match-Logs
20,Willy Caballero,ARG,GK,37,4,4,360,/en/players/a179d516/matchlogs/2019-2020/Willy-Caballero-Match-Logs
21,Michy Batshuayi,BEL,FW,25,16,1,225,/en/players/2973d8ff/matchlogs/2019-2020/Michy-Batshuayi-Match-Logs
22,Billy Gilmour, SCO,MF,18,3,1,99,/en/players/df10e27c/matchlogs/2019-2020/Billy-Gilmour-Match-Logs
23,Tariq Lamptey, ENG,DF,18,1,0,31,/en/players/f4e433d4/matchlogs/2019-2020/Tariq-Lamptey-Match-Logs
24,Faustino Anjorin, ENG,FW,17,1,0,19,/en/players/b105919e/matchlogs/2019-2020/Faustino-Anjorin-Match-Logs
25,Armando Broja,ALB,FW,17,1,0,4,/en/players/97220da2/matchlogs/2019-2020/Armando-Broja-Match-Logs
26,Marc Guéhi, ENG,DF,19,0,0,,/en/players/d0706b27/matchlogs/2019-2020/Marc-Guehi-Match-Logs
27,Kenedy,BRA,"FW,MF",23,0,0,,/en/players/5eebbfdf/matchlogs/2019-2020/Kenedy-Match-Logs
28,Ruben Loftus-Cheek, ENG,MF,23,0,0,,/en/players/e97fd090/matchlogs/2019-2020/Ruben-Loftus-Cheek-Match-Logs
