,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Wilfried Zaha,CIV,"MF,FW",26,29,28,"2,545",/en/players/b2bc3b1f/matchlogs/2019-2020/Wilfried-Zaha-Match-Logs
1,James McArthur, SCO,MF,31,28,28,"2,433",/en/players/cee31595/matchlogs/2019-2020/James-McArthur-Match-Logs
2,Jordan Ayew,GHA,"FW,MF",27,28,28,"2,393",/en/players/da052c14/matchlogs/2019-2020/Jordan-Ayew-Match-Logs
3,Vicente Guaita,ESP,GK,32,27,27,"2,430",/en/players/ab13a5aa/matchlogs/2019-2020/Vicente-Guaita-Match-Logs
4,Cheikhou Kouyaté,SEN,MF,29,27,23,"1,993",/en/players/8d3c902d/matchlogs/2019-2020/Cheikhou-Kouyate-Match-Logs
5,Luka Milivojević,SRB,MF,28,23,22,"1,986",/en/players/2ce2508a/matchlogs/2019-2020/Luka-Milivojevic-Match-Logs
6,Patrick van Aanholt,NED,DF,28,22,22,"1,894",/en/players/5f09991f/matchlogs/2019-2020/Patrick-van-Aanholt-Match-Logs
7,Gary Cahill, ENG,DF,33,20,20,"1,800",/en/players/7914b9fe/matchlogs/2019-2020/Gary-Cahill-Match-Logs
8,James Tomkins, ENG,DF,30,18,18,"1,584",/en/players/e7ca0439/matchlogs/2019-2020/James-Tomkins-Match-Logs
9,Joel Ward, ENG,DF,29,20,18,"1,573",/en/players/8a7ff278/matchlogs/2019-2020/Joel-Ward-Match-Logs
10,Martin Kelly, ENG,DF,29,19,17,"1,550",/en/players/d7492450/matchlogs/2019-2020/Martin-Kelly-Match-Logs
11,James McCarthy,IRL,MF,28,24,12,"1,172",/en/players/64b08de7/matchlogs/2019-2020/James-McCarthy-Match-Logs
12,Christian Benteke,BEL,FW,28,20,9,919,/en/players/ab070c55/matchlogs/2019-2020/Christian-Benteke-Match-Logs
13,Jeffrey Schlupp,GHA,"MF,DF",26,14,9,859,/en/players/3312f911/matchlogs/2019-2020/Jeffrey-Schlupp-Match-Logs
14,Andros Townsend, ENG,MF,28,15,9,795,/en/players/b28bbd58/matchlogs/2019-2020/Andros-Townsend-Match-Logs
15,Scott Dann, ENG,DF,32,9,7,635,/en/players/52105203/matchlogs/2019-2020/Scott-Dann-Match-Logs
16,Jaïro Riedewald,NED,DF,22,10,6,609,/en/players/7a1f2c08/matchlogs/2019-2020/Jairo-Riedewald-Match-Logs
17,Max Meyer,GER,"MF,FW",23,13,6,545,/en/players/eba42d2b/matchlogs/2019-2020/Max-Meyer-Match-Logs
18,Mamadou Sakho,FRA,DF,29,8,6,465,/en/players/87935cf3/matchlogs/2019-2020/Mamadou-Sakho-Match-Logs
19,Wayne Hennessey, WAL,GK,32,2,2,180,/en/players/76eca7e2/matchlogs/2019-2020/Wayne-Hennessey-Match-Logs
20,Cenk Tosun,TUR,FW,28,5,2,176,/en/players/9a104dee/matchlogs/2019-2020/Cenk-Tosun-Match-Logs
21,Connor Wickham, ENG,"FW,MF",26,6,0,90,/en/players/41cc19c2/matchlogs/2019-2020/Connor-Wickham-Match-Logs
22,Brandon Pierrick, ENG,DF,17,1,0,7,/en/players/9a526299/matchlogs/2019-2020/Brandon-Pierrick-Match-Logs
23,Víctor Camarasa,ESP,MF,25,1,0,5,/en/players/b2d03887/matchlogs/2019-2020/Victor-Camarasa-Match-Logs
24,James Daly, ENG,FW,19,0,0,,/en/players/435c44b3/matchlogs/2019-2020/James-Daly-Match-Logs
25,Stephen Henderson,IRL,GK,31,0,0,,/en/players/f234c188/matchlogs/2019-2020/Stephen-Henderson-Match-Logs
26,Nya Kirby, ENG,MF,19,0,0,,/en/players/96b99d13/matchlogs/2019-2020/Nya-Kirby-Match-Logs
27,Giovanni McGregor, ENG,MF,20,0,0,,/en/players/1b138e25/matchlogs/2019-2020/Giovanni-McGregor-Match-Logs
28,Tyrick Mitchell, ENG,DF,19,0,0,,/en/players/5cbd1eb0/matchlogs/2019-2020/Tyrick-Mitchell-Match-Logs
29,Sam Woods, ENG,DF,20,0,0,,/en/players/a62da625/matchlogs/2019-2020/Sam-Woods-Match-Logs
