,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Jordan Pickford, ENG,GK,25,29,29,"2,610",/en/players/4806ec67/matchlogs/2019-2020/Jordan-Pickford-Match-Logs
1,Richarlison,BRA,FW,22,27,27,"2,358",/en/players/fa031b34/matchlogs/2019-2020/Richarlison-Match-Logs
2,Lucas Digne,FRA,DF,26,26,26,"2,245",/en/players/1b84dbe1/matchlogs/2019-2020/Lucas-Digne-Match-Logs
3,Yerry Mina,COL,DF,24,25,23,"2,085",/en/players/6d5701f2/matchlogs/2019-2020/Yerry-Mina-Match-Logs
4,Gylfi Sigurðsson,ISL,MF,29,26,23,"1,998",/en/players/76dd1480/matchlogs/2019-2020/Gylfi-Sigurdsson-Match-Logs
5,Dominic Calvert-Lewin, ENG,FW,22,27,22,"1,912",/en/players/59e6e5bf/matchlogs/2019-2020/Dominic-Calvert-Lewin-Match-Logs
6,Michael Keane, ENG,DF,26,22,19,"1,746",/en/players/c5b7c315/matchlogs/2019-2020/Michael-Keane-Match-Logs
7,Mason Holgate, ENG,DF,22,22,19,"1,731",/en/players/d0042ab9/matchlogs/2019-2020/Mason-Holgate-Match-Logs
8,Djibril Sidibé,FRA,DF,27,21,17,"1,641",/en/players/4c5b714f/matchlogs/2019-2020/Djibril-Sidibe-Match-Logs
9,Tom Davies, ENG,MF,21,21,15,"1,368",/en/players/9228b07c/matchlogs/2019-2020/Tom-Davies-Match-Logs
10,Séamus Coleman,IRL,DF,30,18,14,"1,192",/en/players/0420d84f/matchlogs/2019-2020/Seamus-Coleman-Match-Logs
11,Theo Walcott, ENG,"MF,FW",30,21,14,"1,070",/en/players/1ecb65be/matchlogs/2019-2020/Theo-Walcott-Match-Logs
12,Fabian Delph, ENG,MF,29,16,13,"1,189",/en/players/111c3236/matchlogs/2019-2020/Fabian-Delph-Match-Logs
13,Alex Iwobi,NGA,"MF,FW",23,18,13,"1,170",/en/players/6ca5ec4b/matchlogs/2019-2020/Alex-Iwobi-Match-Logs
14,Bernard,BRA,"MF,FW",26,19,13,"1,023",/en/players/ab4b3e35/matchlogs/2019-2020/Bernard-Match-Logs
15,Morgan Schneiderlin,FRA,MF,29,15,12,"1,003",/en/players/51b41c5c/matchlogs/2019-2020/Morgan-Schneiderlin-Match-Logs
16,André Gomes,POR,MF,26,11,9,788,/en/players/1961b2aa/matchlogs/2019-2020/Andre-Gomes-Match-Logs
17,Moise Kean,ITA,"FW,MF",19,22,5,675,/en/players/3d50bcdb/matchlogs/2019-2020/Moise-Kean-Match-Logs
18,Leighton Baines, ENG,DF,34,5,3,333,/en/players/b18095b6/matchlogs/2019-2020/Leighton-Baines-Match-Logs
19,Cenk Tosun,TUR,FW,28,5,2,290,/en/players/9a104dee/matchlogs/2019-2020/Cenk-Tosun-Match-Logs
20,Jean-Philippe Gbamin,CIV,MF,23,2,1,135,/en/players/6bd603db/matchlogs/2019-2020/Jean-Philippe-Gbamin-Match-Logs
21,Anthony Gordon, ENG,"MF,FW",18,2,0,59,/en/players/2bd83368/matchlogs/2019-2020/Anthony-Gordon-Match-Logs
22,Oumar Niasse,SEN,FW,29,3,0,19,/en/players/af721f98/matchlogs/2019-2020/Oumar-Niasse-Match-Logs
23,Beni Baningime,COD,MF,20,0,0,,/en/players/ca9178af/matchlogs/2019-2020/Beni-Baningime-Match-Logs
24,Lewis Gibson, ENG,DF,19,0,0,,/en/players/cdf0f2db/matchlogs/2019-2020/Lewis-Gibson-Match-Logs
25,Jonas Lössl,DEN,GK,30,0,0,,/en/players/939bc634/matchlogs/2019-2020/Jonas-Lossl-Match-Logs
26,Cuco Martina,CUW,"DF,MF",29,0,0,,/en/players/22551915/matchlogs/2019-2020/Cuco-Martina-Match-Logs
27,Maarten Stekelenburg,NED,GK,36,0,0,,/en/players/fefce889/matchlogs/2019-2020/Maarten-Stekelenburg-Match-Logs
28,João Virgínia,POR,GK,19,0,0,,/en/players/728e9b2e/matchlogs/2019-2020/Joao-Virginia-Match-Logs
