,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Danielle Turner, ENG,DF,28,14,14,"1,260",/en/players/cdcfea31/matchlogs/2019-2020/Danielle-Turner-Match-Logs
1,Lucy Graham, SCO,MF,22,14,14,"1,235",/en/players/1691b0ef/matchlogs/2019-2020/Lucy-Graham-Match-Logs
2,Gabrielle George, ENG,DF,22,13,13,"1,170",/en/players/a706e82f/matchlogs/2019-2020/Gabrielle-George-Match-Logs
3,Chloe Kelly, ENG,FW,21,12,12,"1,066",/en/players/9ff67bf9/matchlogs/2019-2020/Chloe-Kelly-Match-Logs
4,Inessa Kaagman,NED,"FW,MF",23,12,12,992,/en/players/4f9ac754/matchlogs/2019-2020/Inessa-Kaagman-Match-Logs
5,Tinja-Riikka Korpela,FIN,GK,33,11,11,990,/en/players/9df8e322/matchlogs/2019-2020/Tinja-Riikka-Korpela-Match-Logs
6,Maéva Clemaron,FRA,MF,26,13,11,983,/en/players/490b7ae2/matchlogs/2019-2020/Maeva-Clemaron-Match-Logs
7,Esme Morgan, ENG,DF,18,11,10,923,/en/players/ecacba26/matchlogs/2019-2020/Esme-Morgan-Match-Logs
8,Megan Finnigan, ENG,DF,21,10,10,900,/en/players/7de2938e/matchlogs/2019-2020/Megan-Finnigan-Match-Logs
9,Simone Magill, NIR,FW,24,12,10,896,/en/players/34691e2f/matchlogs/2019-2020/Simone-Magill-Match-Logs
10,Kika van Es,NED,DF,27,10,8,635,/en/players/dd98fa13/matchlogs/2019-2020/Kika-van-Es-Match-Logs
11,Molly Pike, ENG,MF,18,13,7,560,/en/players/d6d31734/matchlogs/2019-2020/Molly-Pike-Match-Logs
12,Chantelle Boye-Hlorkah, ENG,FW,,10,6,613,/en/players/c87eb969/matchlogs/2019-2020/Chantelle-Boye-Hlorkah-Match-Logs
13,Hannah Cain, ENG,FW,20,13,5,550,/en/players/73b140ea/matchlogs/2019-2020/Hannah-Cain-Match-Logs
14,Abbey-Leigh Stringer, ENG,MF,24,11,5,504,/en/players/d2fb8712/matchlogs/2019-2020/Abbey-Leigh-Stringer-Match-Logs
15,Sandy MacIver, ENG,GK,21,3,3,270,/en/players/90ebe6bf/matchlogs/2019-2020/Sandy-MacIver-Match-Logs
16,Taylor Hinds, ENG,DF,19,6,2,212,/en/players/a760a666/matchlogs/2019-2020/Taylor-Hinds-Match-Logs
17,Elise Hughes, WAL,FW,18,4,1,101,/en/players/f38faa55/matchlogs/2019-2020/Elise-Hughes-Match-Logs
18,Georgia Brougham, ENG,DF,23,0,0,,/en/players/052a7107/matchlogs/2019-2020/Georgia-Brougham-Match-Logs
19,Faye Bryson, ENG,DF,,0,0,,/en/players/0d10692c/matchlogs/2019-2020/Faye-Bryson-Match-Logs
20,Hannah Coan, ENG,MF,,0,0,,/en/players/d3637f8a/matchlogs/2019-2020/Hannah-Coan-Match-Logs
21,Kirstie Levell, ENG,GK,22,0,0,,/en/players/7b579799/matchlogs/2019-2020/Kirstie-Levell-Match-Logs
