,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Kasper Schmeichel,DEN,GK,32,29,29,"2,610",/en/players/53af52f3/matchlogs/2019-2020/Kasper-Schmeichel-Match-Logs
1,Jonny Evans, NIR,DF,31,29,29,"2,576",/en/players/f8fcd2a5/matchlogs/2019-2020/Jonny-Evans-Match-Logs
2,Ricardo Pereira,POR,DF,25,28,28,"2,520",/en/players/75a72a99/matchlogs/2019-2020/Ricardo-Pereira-Match-Logs
3,Çağlar Söyüncü,TUR,DF,23,28,28,"2,520",/en/players/21166ff4/matchlogs/2019-2020/Caglar-Soyuncu-Match-Logs
4,James Maddison, ENG,MF,22,28,27,"2,404",/en/players/ee38d9c5/matchlogs/2019-2020/James-Maddison-Match-Logs
5,Jamie Vardy, ENG,FW,32,26,25,"2,224",/en/players/45963054/matchlogs/2019-2020/Jamie-Vardy-Match-Logs
6,Youri Tielemans,BEL,MF,22,28,24,"2,154",/en/players/56f7a928/matchlogs/2019-2020/Youri-Tielemans-Match-Logs
7,Ben Chilwell, ENG,DF,22,23,23,"2,060",/en/players/d2424d1b/matchlogs/2019-2020/Ben-Chilwell-Match-Logs
8,Ayoze Pérez,ESP,"MF,FW",26,25,21,"1,594",/en/players/819aa8e7/matchlogs/2019-2020/Ayoze-Perez-Match-Logs
9,Wilfred Ndidi,NGA,MF,22,23,20,"1,892",/en/players/6b47c5db/matchlogs/2019-2020/Wilfred-Ndidi-Match-Logs
10,Harvey Barnes, ENG,MF,21,27,20,"1,719",/en/players/3ea50f67/matchlogs/2019-2020/Harvey-Barnes-Match-Logs
11,Dennis Praet,BEL,MF,25,21,11,970,/en/players/86695068/matchlogs/2019-2020/Dennis-Praet-Match-Logs
12,Hamza Choudhury, ENG,MF,21,16,9,781,/en/players/7d2d3329/matchlogs/2019-2020/Hamza-Choudhury-Match-Logs
13,Christian Fuchs,AUT,DF,33,8,7,634,/en/players/a67a09fb/matchlogs/2019-2020/Christian-Fuchs-Match-Logs
14,Kelechi Iheanacho,NGA,FW,22,12,7,583,/en/players/c92e1a31/matchlogs/2019-2020/Kelechi-Iheanacho-Match-Logs
15,Marc Albrighton, ENG,MF,29,14,3,477,/en/players/b827d5b3/matchlogs/2019-2020/Marc-Albrighton-Match-Logs
16,Nampalys Mendy,FRA,MF,27,5,3,202,/en/players/1598599e/matchlogs/2019-2020/Nampalys-Mendy-Match-Logs
17,Demarai Gray, ENG,"MF,FW",23,14,2,411,/en/players/4468ec10/matchlogs/2019-2020/Demarai-Gray-Match-Logs
18,James Justin, ENG,DF,21,4,2,200,/en/players/fb614c44/matchlogs/2019-2020/James-Justin-Match-Logs
19,Wes Morgan,JAM,DF,35,8,1,159,/en/players/80c31c97/matchlogs/2019-2020/Wes-Morgan-Match-Logs
20,Matty James, ENG,MF,28,1,0,5,/en/players/ebd0a048/matchlogs/2019-2020/Matty-James-Match-Logs
21,Filip Benković,CRO,DF,22,0,0,,/en/players/305a3820/matchlogs/2019-2020/Filip-Benkovic-Match-Logs
22,Danny Ward, WAL,GK,26,0,0,,/en/players/d3ce0e89/matchlogs/2019-2020/Danny-Ward-Match-Logs
