,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Sophie Bradley, ENG,DF,29,14,14,"1,260",/en/players/947f1c75/matchlogs/2019-2020/Sophie-Bradley-Match-Logs
1,Leigh-Anne Robe, ENG,DF,25,14,14,"1,260",/en/players/0907ce66/matchlogs/2019-2020/Leigh-Anne-Robe-Match-Logs
2,Rebecca Jane, ENG,DF,27,14,14,"1,257",/en/players/af03972f/matchlogs/2019-2020/Rebecca-Jane-Match-Logs
3,Melissa Lawley, ENG,"MF,FW",25,14,14,"1,212",/en/players/6ca0cbee/matchlogs/2019-2020/Melissa-Lawley-Match-Logs
4,Niamh Fahey,IRL,DF,31,13,13,"1,144",/en/players/cb226c03/matchlogs/2019-2020/Niamh-Fahey-Match-Logs
5,Jade Bailey, ENG,MF,23,13,13,"1,137",/en/players/3829d6df/matchlogs/2019-2020/Jade-Bailey-Match-Logs
6,Niamh Charles, ENG,"FW,MF",20,13,13,"1,072",/en/players/cf19f181/matchlogs/2019-2020/Niamh-Charles-Match-Logs
7,Anke Preuß,GER,GK,26,10,10,900,/en/players/07943bfe/matchlogs/2019-2020/Anke-Preuss-Match-Logs
8,Rhiannon Roberts, WAL,MF,28,12,9,879,/en/players/04be3fea/matchlogs/2019-2020/Rhiannon-Roberts-Match-Logs
9,Kirsty Linnett, ENG,"MF,FW",25,11,8,625,/en/players/23a667a7/matchlogs/2019-2020/Kirsty-Linnett-Match-Logs
10,Rinsola Babajide, ENG,"FW,MF",,12,7,736,/en/players/ca9f6f0a/matchlogs/2019-2020/Rinsola-Babajide-Match-Logs
11,Courtney Sweetman-Kirk, ENG,FW,28,11,7,599,/en/players/e04121b4/matchlogs/2019-2020/Courtney-Sweetman-Kirk-Match-Logs
12,Jessica Clarke, ENG,"FW,MF",30,7,4,363,/en/players/a16b6619/matchlogs/2019-2020/Jessica-Clarke-Match-Logs
13,Rachel Furness, NIR,MF,31,4,4,360,/en/players/30260df0/matchlogs/2019-2020/Rachel-Furness-Match-Logs
14,Frances Kitching, ENG,GK,21,4,4,360,/en/players/5a91247a/matchlogs/2019-2020/Frances-Kitching-Match-Logs
15,Amy Rodgers, ENG,MF,19,3,3,234,/en/players/4f15e6a9/matchlogs/2019-2020/Amy-Rodgers-Match-Logs
16,Ashley Hodson, ENG,FW,24,13,2,243,/en/players/c022ea68/matchlogs/2019-2020/Ashley-Hodson-Match-Logs
17,Jemma Purfield, ENG,DF,22,2,1,113,/en/players/adf8b12b/matchlogs/2019-2020/Jemma-Purfield-Match-Logs
18,Christie Murray, SCO,"MF,FW",29,6,0,80,/en/players/629a62ec/matchlogs/2019-2020/Christie-Murray-Match-Logs
19,Missy Bo Kearns, ENG,MF,,0,0,,/en/players/a3ee3804/matchlogs/2019-2020/Missy-Bo-Kearns-Match-Logs
20,Rylee Foster,CAN,GK,20,0,0,,/en/players/8a6256b9/matchlogs/2019-2020/Rylee-Foster-Match-Logs
21,Eleanor Heeps,,GK,,0,0,,/en/players/8aee792b/matchlogs/2019-2020/Eleanor-Heeps-Match-Logs
