,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Virgil van Dijk,NED,DF,28,29,29,"2,610",/en/players/e06683ca/matchlogs/2019-2020/Virgil-van-Dijk-Match-Logs
1,Trent Alexander-Arnold, ENG,DF,20,29,28,"2,550",/en/players/cd1acf9d/matchlogs/2019-2020/Trent-Alexander-Arnold-Match-Logs
2,Georginio Wijnaldum,NED,MF,28,28,28,"2,332",/en/players/eb58eef0/matchlogs/2019-2020/Georginio-Wijnaldum-Match-Logs
3,Andrew Robertson, SCO,DF,25,28,27,"2,445",/en/players/2e4f5f03/matchlogs/2019-2020/Andrew-Robertson-Match-Logs
4,Roberto Firmino,BRA,"FW,MF",27,29,27,"2,422",/en/players/4c370d81/matchlogs/2019-2020/Roberto-Firmino-Match-Logs
5,Mohamed Salah,EGY,FW,27,26,26,"2,250",/en/players/e342ad68/matchlogs/2019-2020/Mohamed-Salah-Match-Logs
6,Sadio Mané,SEN,FW,27,26,24,"2,084",/en/players/c691bfe2/matchlogs/2019-2020/Sadio-Mane-Match-Logs
7,Jordan Henderson, ENG,MF,29,25,22,"1,891",/en/players/935e6b8f/matchlogs/2019-2020/Jordan-Henderson-Match-Logs
8,Alisson,BRA,GK,26,20,20,"1,734",/en/players/7a2e46a8/matchlogs/2019-2020/Alisson-Match-Logs
9,Fabinho,BRA,MF,25,20,15,"1,444",/en/players/7f3b388c/matchlogs/2019-2020/Fabinho-Match-Logs
10,Joe Gomez, ENG,DF,22,19,14,"1,276",/en/players/7a11550b/matchlogs/2019-2020/Joe-Gomez-Match-Logs
11,Alex Oxlade-Chamberlain, ENG,"MF,FW",25,21,13,"1,108",/en/players/38c7feef/matchlogs/2019-2020/Alex-Oxlade-Chamberlain-Match-Logs
12,Adrián,ESP,GK,32,11,9,873,/en/players/f76e6b4e/matchlogs/2019-2020/Adrian-Match-Logs
13,Dejan Lovren,CRO,DF,30,9,9,760,/en/players/1a2935f6/matchlogs/2019-2020/Dejan-Lovren-Match-Logs
14,James Milner, ENG,"MF,DF",33,18,7,759,/en/players/2f90f6b8/matchlogs/2019-2020/James-Milner-Match-Logs
15,Joël Matip,CMR,DF,27,8,7,630,/en/players/b217ef29/matchlogs/2019-2020/Joel-Matip-Match-Logs
16,Divock Origi,BEL,FW,24,22,5,516,/en/players/43a166b4/matchlogs/2019-2020/Divock-Origi-Match-Logs
17,Naby Keïta,GUI,MF,24,9,4,368,/en/players/f25c8e3a/matchlogs/2019-2020/Naby-Keita-Match-Logs
18,Adam Lallana, ENG,"MF,FW",31,15,3,373,/en/players/99813635/matchlogs/2019-2020/Adam-Lallana-Match-Logs
19,Xherdan Shaqiri,SUI,FW,27,6,2,174,/en/players/6421ec64/matchlogs/2019-2020/Xherdan-Shaqiri-Match-Logs
20,Takumi Minamino,JPN,"FW,MF",24,3,0,77,/en/players/f833a830/matchlogs/2019-2020/Takumi-Minamino-Match-Logs
21,Curtis Jones, ENG,MF,18,2,0,19,/en/players/4fb9c88f/matchlogs/2019-2020/Curtis-Jones-Match-Logs
22,Harvey Elliot, ENG,FW,,1,0,,/en/players/c8387671/matchlogs/2019-2020/Harvey-Elliot-Match-Logs
23,Rhian Brewster, ENG,FW,19,0,0,,/en/players/30e81a88/matchlogs/2019-2020/Rhian-Brewster-Match-Logs
24,Ki-Jana Hoever,NED,DF,17,0,0,,/en/players/9a71e978/matchlogs/2019-2020/Ki-Jana-Hoever-Match-Logs
25,Caoimhin Kelleher,IRL,GK,20,0,0,,/en/players/62d7ef38/matchlogs/2019-2020/Caoimhin-Kelleher-Match-Logs
26,Andy Lonergan,IRL,GK,35,0,0,,/en/players/165cf989/matchlogs/2019-2020/Andy-Lonergan-Match-Logs
27,Nathaniel Phillips, ENG,DF,22,0,0,,/en/players/515ebe8d/matchlogs/2019-2020/Nathaniel-Phillips-Match-Logs
28,Neco Williams, WAL,DF,18,0,0,,/en/players/dd323728/matchlogs/2019-2020/Neco-Williams-Match-Logs
