,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Ederson,BRA,GK,25,25,25,"2,171",/en/players/3bb7b8b4/matchlogs/2019-2020/Ederson-Match-Logs
1,Kevin De Bruyne,BEL,MF,28,26,25,"2,156",/en/players/e46012d4/matchlogs/2019-2020/Kevin-De-Bruyne-Match-Logs
2,Raheem Sterling, ENG,FW,24,24,23,"2,024",/en/players/b400bde0/matchlogs/2019-2020/Raheem-Sterling-Match-Logs
3,Fernandinho,BRA,DF,34,23,22,"1,997",/en/players/101da2b5/matchlogs/2019-2020/Fernandinho-Match-Logs
4,Rodri,ESP,"MF,DF",23,26,22,"1,957",/en/players/6434f10d/matchlogs/2019-2020/Rodri-Match-Logs
5,Kyle Walker, ENG,DF,29,21,21,"1,809",/en/players/86dd77d1/matchlogs/2019-2020/Kyle-Walker-Match-Logs
6,İlkay Gündoğan,GER,MF,28,25,17,"1,589",/en/players/819b3158/matchlogs/2019-2020/Ilkay-Gundogan-Match-Logs
7,Bernardo Silva,POR,"FW,MF",24,24,17,"1,498",/en/players/3eb22ec9/matchlogs/2019-2020/Bernardo-Silva-Match-Logs
8,Sergio Agüero,ARG,FW,31,22,17,"1,401",/en/players/4d034881/matchlogs/2019-2020/Sergio-Aguero-Match-Logs
9,David Silva,ESP,MF,33,19,16,"1,261",/en/players/e2716bd0/matchlogs/2019-2020/David-Silva-Match-Logs
10,Nicolás Otamendi,ARG,DF,31,19,15,"1,413",/en/players/0d267745/matchlogs/2019-2020/Nicolas-Otamendi-Match-Logs
11,Riyad Mahrez,ALG,"FW,MF",28,23,15,"1,385",/en/players/892d5bb1/matchlogs/2019-2020/Riyad-Mahrez-Match-Logs
12,Gabriel Jesus,BRA,FW,22,24,13,"1,337",/en/players/b66315ae/matchlogs/2019-2020/Gabriel-Jesus-Match-Logs
13,Benjamin Mendy,FRA,DF,25,14,13,"1,116",/en/players/5271c8f1/matchlogs/2019-2020/Benjamin-Mendy-Match-Logs
14,Oleksandr Zinchenko,UKR,DF,22,12,10,906,/en/players/51cf8561/matchlogs/2019-2020/Oleksandr-Zinchenko-Match-Logs
15,John Stones, ENG,DF,25,12,10,905,/en/players/5eecec3d/matchlogs/2019-2020/John-Stones-Match-Logs
16,João Cancelo,POR,DF,25,11,8,782,/en/players/bd6351cd/matchlogs/2019-2020/Joao-Cancelo-Match-Logs
17,Aymeric Laporte,FRA,DF,25,7,7,508,/en/players/119b9a8e/matchlogs/2019-2020/Aymeric-Laporte-Match-Logs
18,Angeliño,ESP,DF,22,6,4,422,/en/players/30941e96/matchlogs/2019-2020/Angelino-Match-Logs
19,Phil Foden, ENG,"MF,FW",19,14,3,354,/en/players/ed1e53f3/matchlogs/2019-2020/Phil-Foden-Match-Logs
20,Claudio Bravo,CHI,GK,36,4,3,346,/en/players/10072610/matchlogs/2019-2020/Claudio-Bravo-Match-Logs
21,Eric García,ESP,DF,18,6,2,269,/en/players/2bed3eab/matchlogs/2019-2020/Eric-Garcia-Match-Logs
22,Scott Carson, ENG,GK,33,0,0,,/en/players/3e1550ee/matchlogs/2019-2020/Scott-Carson-Match-Logs
