,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Gemma Bonner, ENG,DF,28,16,16,"1,440",/en/players/488a84df/matchlogs/2019-2020/Gemma-Bonner-Match-Logs
1,Steph Houghton, ENG,DF,31,16,16,"1,440",/en/players/378ce9a0/matchlogs/2019-2020/Steph-Houghton-Match-Logs
2,Ellie Roebuck, ENG,GK,19,16,16,"1,440",/en/players/16d7db66/matchlogs/2019-2020/Ellie-Roebuck-Match-Logs
3,Caroline Weir, SCO,MF,24,16,16,"1,440",/en/players/b30c8ad2/matchlogs/2019-2020/Caroline-Weir-Match-Logs
4,Jill Scott, ENG,MF,32,16,15,"1,290",/en/players/bb3bd078/matchlogs/2019-2020/Jill-Scott-Match-Logs
5,Keira Walsh, ENG,MF,22,14,14,"1,260",/en/players/ca934b6b/matchlogs/2019-2020/Keira-Walsh-Match-Logs
6,Janine Beckie,CAN,"DF,FW",24,14,14,"1,172",/en/players/43466fe0/matchlogs/2019-2020/Janine-Beckie-Match-Logs
7,Lauren Hemp, ENG,"MF,FW",18,14,13,"1,137",/en/players/d979e267/matchlogs/2019-2020/Lauren-Hemp-Match-Logs
8,Demi Stokes, ENG,DF,27,14,13,"1,136",/en/players/a49a1c85/matchlogs/2019-2020/Demi-Stokes-Match-Logs
9,Tessa Wullaert,BEL,"FW,MF",26,13,10,874,/en/players/54a6f718/matchlogs/2019-2020/Tessa-Wullaert-Match-Logs
10,Ellen White, ENG,FW,30,12,10,861,/en/players/87740aba/matchlogs/2019-2020/Ellen-White-Match-Logs
11,Georgia Stanway, ENG,"FW,MF",20,13,8,828,/en/players/89c43b54/matchlogs/2019-2020/Georgia-Stanway-Match-Logs
12,Pauline Bremer,GER,FW,23,12,6,576,/en/players/ef20b0e8/matchlogs/2019-2020/Pauline-Bremer-Match-Logs
13,Aoife Mannion, ENG,DF,23,4,4,357,/en/players/65be012f/matchlogs/2019-2020/Aoife-Mannion-Match-Logs
14,Megan Campbell,IRL,DF,26,7,3,333,/en/players/621f756c/matchlogs/2019-2020/Megan-Campbell-Match-Logs
15,Laura Coombs, ENG,"MF,FW",28,4,1,102,/en/players/dfe6be0f/matchlogs/2019-2020/Laura-Coombs-Match-Logs
16,Matilde Fidalgo,POR,DF,25,2,1,64,/en/players/057ad0ac/matchlogs/2019-2020/Matilde-Fidalgo-Match-Logs
17,Lee Geum-min,KOR,"MF,FW",25,3,0,41,/en/players/3137ff06/matchlogs/2019-2020/Lee-Geum-min-Match-Logs
18,Jessica Park, ENG,"FW,MF",17,2,0,15,/en/players/4a27340c/matchlogs/2019-2020/Jessica-Park-Match-Logs
19,Tyler Toland,IRL,MF,17,1,0,15,/en/players/2aa06b99/matchlogs/2019-2020/Tyler-Toland-Match-Logs
20,Karima Benameur,FRA,GK,30,1,0,,/en/players/eea7cfb1/matchlogs/2019-2020/Karima-Benameur-Match-Logs
21,Emma Bissell, ENG,FW,17,0,0,,/en/players/517b0772/matchlogs/2019-2020/Emma-Bissell-Match-Logs
