,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,David de Gea,ESP,GK,28,29,29,"2,610",/en/players/7ba6d84e/matchlogs/2019-2020/David-de-Gea-Match-Logs
1,Harry Maguire, ENG,DF,26,29,29,"2,610",/en/players/d8931174/matchlogs/2019-2020/Harry-Maguire-Match-Logs
2,Victor Lindelöf,SWE,DF,25,26,26,"2,340",/en/players/f5deef4c/matchlogs/2019-2020/Victor-Lindelof-Match-Logs
3,Aaron Wan-Bissaka, ENG,DF,21,26,26,"2,331",/en/players/9e525177/matchlogs/2019-2020/Aaron-Wan-Bissaka-Match-Logs
4,Daniel James, WAL,FW,21,27,25,"2,175",/en/players/c931d9f9/matchlogs/2019-2020/Daniel-James-Match-Logs
5,Fred,BRA,MF,26,25,22,"2,027",/en/players/b853e0ad/matchlogs/2019-2020/Fred-Match-Logs
6,Anthony Martial,FRA,FW,23,23,22,"1,885",/en/players/8b788c01/matchlogs/2019-2020/Anthony-Martial-Match-Logs
7,Marcus Rashford, ENG,FW,21,22,22,"1,882",/en/players/a1d5bd30/matchlogs/2019-2020/Marcus-Rashford-Match-Logs
8,Scott McTominay, SCO,MF,22,20,18,"1,549",/en/players/d93c2511/matchlogs/2019-2020/Scott-McTominay-Match-Logs
9,Andreas Pereira,BRA,"MF,FW",23,23,18,"1,453",/en/players/6639e500/matchlogs/2019-2020/Andreas-Pereira-Match-Logs
10,Luke Shaw, ENG,DF,24,18,14,"1,235",/en/players/9c94165b/matchlogs/2019-2020/Luke-Shaw-Match-Logs
11,Nemanja Matić,SRB,MF,30,12,11,961,/en/players/eb7822d7/matchlogs/2019-2020/Nemanja-Matic-Match-Logs
12,Ashley Young, ENG,DF,34,12,10,954,/en/players/be927d03/matchlogs/2019-2020/Ashley-Young-Match-Logs
13,Jesse Lingard, ENG,"MF,FW",26,20,9,891,/en/players/810e3c74/matchlogs/2019-2020/Jesse-Lingard-Match-Logs
14,Brandon Williams, ENG,DF,18,12,9,760,/en/players/5e74d6c8/matchlogs/2019-2020/Brandon-Williams-Match-Logs
15,Juan Mata,ESP,"MF,FW",31,17,8,733,/en/players/29733c72/matchlogs/2019-2020/Juan-Mata-Match-Logs
16,Paul Pogba,FRA,MF,26,7,5,521,/en/players/867239d3/matchlogs/2019-2020/Paul-Pogba-Match-Logs
17,Bruno Fernandes,POR,MF,24,5,5,448,/en/players/507c7bdf/matchlogs/2019-2020/Bruno-Fernandes-Match-Logs
18,Mason Greenwood, ENG,"FW,MF",17,22,4,646,/en/players/58eee997/matchlogs/2019-2020/Mason-Greenwood-Match-Logs
19,Axel Tuanzebe, ENG,DF,21,5,2,186,/en/players/2baec6ce/matchlogs/2019-2020/Axel-Tuanzebe-Match-Logs
20,Phil Jones, ENG,DF,27,2,2,135,/en/players/def899bd/matchlogs/2019-2020/Phil-Jones-Match-Logs
21,Marcos Rojo,ARG,DF,29,3,1,120,/en/players/e0991c04/matchlogs/2019-2020/Marcos-Rojo-Match-Logs
22,Eric Bailly,CIV,DF,25,2,1,102,/en/players/a1232f4e/matchlogs/2019-2020/Eric-Bailly-Match-Logs
23,Diogo Dalot,POR,DF,20,4,1,65,/en/players/d9565625/matchlogs/2019-2020/Diogo-Dalot-Match-Logs
24,Tahith Chong,NED,"FW,MF",19,3,0,34,/en/players/2696b6a9/matchlogs/2019-2020/Tahith-Chong-Match-Logs
25,Odion Ighalo,NGA,FW,30,4,0,30,/en/players/03622183/matchlogs/2019-2020/Odion-Ighalo-Match-Logs
26,Angel Gomes, ENG,MF,18,2,0,19,/en/players/645a3363/matchlogs/2019-2020/Angel-Gomes-Match-Logs
27,James Garner, ENG,MF,18,1,0,8,/en/players/4e015693/matchlogs/2019-2020/James-Garner-Match-Logs
28,Lee Grant, ENG,GK,36,0,0,,/en/players/9dab6e3b/matchlogs/2019-2020/Lee-Grant-Match-Logs
29,Sergio Romero,ARG,GK,32,0,0,,/en/players/1e26e376/matchlogs/2019-2020/Sergio-Romero-Match-Logs
