,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Mary Earps, ENG,GK,26,14,14,"1,260",/en/players/ca2eabf4/matchlogs/2019-2020/Mary-Earps-Match-Logs
1,Millie Turner, ENG,DF,23,14,14,"1,250",/en/players/53926a7a/matchlogs/2019-2020/Millie-Turner-Match-Logs
2,Hayley Ladd, WAL,MF,25,14,14,"1,231",/en/players/1e4d1c4c/matchlogs/2019-2020/Hayley-Ladd-Match-Logs
3,Katie Zelem, ENG,MF,23,14,13,"1,148",/en/players/213a7877/matchlogs/2019-2020/Katie-Zelem-Match-Logs
4,Leah Galton, ENG,FW,25,12,12,"1,031",/en/players/c3d37cec/matchlogs/2019-2020/Leah-Galton-Match-Logs
5,Jackie Groenen,NED,MF,24,12,12,"1,029",/en/players/6698c9f0/matchlogs/2019-2020/Jackie-Groenen-Match-Logs
6,Amy Turner, ENG,DF,28,13,11,"1,069",/en/players/a21edf38/matchlogs/2019-2020/Amy-Turner-Match-Logs
7,Abbie McManus, ENG,DF,26,11,11,990,/en/players/6b4fff19/matchlogs/2019-2020/Abbie-McManus-Match-Logs
8,Martha Harris, ENG,DF,24,11,9,834,/en/players/5343ce75/matchlogs/2019-2020/Martha-Harris-Match-Logs
9,Lauren James, ENG,FW,17,12,9,798,/en/players/d6c2ee71/matchlogs/2019-2020/Lauren-James-Match-Logs
10,Jessica Sigsworth, ENG,"FW,MF",24,14,7,718,/en/players/8f0c718e/matchlogs/2019-2020/Jessica-Sigsworth-Match-Logs
11,Kirsty Smith, SCO,DF,25,8,7,631,/en/players/74734dd2/matchlogs/2019-2020/Kirsty-Smith-Match-Logs
12,Jane Ross, SCO,FW,29,11,7,571,/en/players/8844be23/matchlogs/2019-2020/Jane-Ross-Match-Logs
13,Kirsty Hanson, SCO,FW,21,11,6,497,/en/players/2457a6c7/matchlogs/2019-2020/Kirsty-Hanson-Match-Logs
14,Ella Toone, ENG,"MF,FW",19,13,5,520,/en/players/ea1a4530/matchlogs/2019-2020/Ella-Toone-Match-Logs
15,Lotta Ökvist,SWE,DF,22,3,3,191,/en/players/3a885a23/matchlogs/2019-2020/Lotta-Okvist-Match-Logs
16,Lizzie Arnot, SCO,FW,23,4,0,85,/en/players/dd036c80/matchlogs/2019-2020/Lizzie-Arnot-Match-Logs
17,Rebecca May,,FW,,1,0,5,/en/players/3722867f/matchlogs/2019-2020/Rebecca-May-Match-Logs
18,Maria Edwards,,FW,,0,0,,/en/players/39d61f02/matchlogs/2019-2020/Maria-Edwards-Match-Logs
19,Mollie Green, ENG,FW,21,0,0,,/en/players/4f922d2b/matchlogs/2019-2020/Mollie-Green-Match-Logs
20,Aurora Mikalsen,NOR,GK,23,0,0,,/en/players/61493984/matchlogs/2019-2020/Aurora-Mikalsen-Match-Logs
21,Aimee Palmer, ENG,MF,19,0,0,,/en/players/37d866d9/matchlogs/2019-2020/Aimee-Palmer-Match-Logs
22,Emily Ramsey, ENG,GK,18,0,0,,/en/players/41f1df2f/matchlogs/2019-2020/Emily-Ramsey-Match-Logs
