,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Martin Dúbravka,SVK,GK,30,29,29,"2,610",/en/players/3a949a25/matchlogs/2019-2020/Martin-Dubravka-Match-Logs
1,Miguel Almirón,PAR,"FW,MF",25,28,28,"2,380",/en/players/862a1c15/matchlogs/2019-2020/Miguel-Almiron-Match-Logs
2,Joelinton,BRA,FW,22,29,27,"2,237",/en/players/c17bfb65/matchlogs/2019-2020/Joelinton-Match-Logs
3,Isaac Hayden, ENG,MF,24,24,23,"1,968",/en/players/c951a6df/matchlogs/2019-2020/Isaac-Hayden-Match-Logs
4,Federico Fernández,ARG,DF,30,23,20,"1,808",/en/players/f25b010f/matchlogs/2019-2020/Federico-Fernandez-Match-Logs
5,Jamaal Lascelles, ENG,DF,25,19,19,"1,632",/en/players/450ab6fc/matchlogs/2019-2020/Jamaal-Lascelles-Match-Logs
6,Jetro Willems,NED,DF,25,19,18,"1,498",/en/players/9050ddc4/matchlogs/2019-2020/Jetro-Willems-Match-Logs
7,Jonjo Shelvey, ENG,MF,27,17,16,"1,342",/en/players/3727dd3c/matchlogs/2019-2020/Jonjo-Shelvey-Match-Logs
8,Fabian Schär,SUI,DF,27,18,15,"1,397",/en/players/c8aa95da/matchlogs/2019-2020/Fabian-Schar-Match-Logs
9,Allan Saint-Maximin,FRA,"MF,FW",22,18,15,"1,274",/en/players/2b16cb1a/matchlogs/2019-2020/Allan-Saint-Maximin-Match-Logs
10,Paul Dummett, WAL,DF,27,16,14,"1,229",/en/players/3fe6bd8c/matchlogs/2019-2020/Paul-Dummett-Match-Logs
11,Ciaran Clark,IRL,DF,29,14,14,"1,188",/en/players/2b91cf8e/matchlogs/2019-2020/Ciaran-Clark-Match-Logs
12,Sean Longstaff, ENG,MF,21,21,13,"1,298",/en/players/a2b105e0/matchlogs/2019-2020/Sean-Longstaff-Match-Logs
13,Javier Manquillo,ESP,DF,25,13,11,962,/en/players/758dd7f0/matchlogs/2019-2020/Javier-Manquillo-Match-Logs
14,DeAndre Yedlin,USA,DF,26,12,8,772,/en/players/ae0a7ddf/matchlogs/2019-2020/DeAndre-Yedlin-Match-Logs
15,Matt Ritchie, SCO,"DF,MF",29,10,7,713,/en/players/71ef519e/matchlogs/2019-2020/Matt-Ritchie-Match-Logs
16,Christian Atsu,GHA,"FW,MF",27,18,6,733,/en/players/8816329f/matchlogs/2019-2020/Christian-Atsu-Match-Logs
17,Emil Krafth,SWE,DF,24,11,6,563,/en/players/77cf6852/matchlogs/2019-2020/Emil-Krafth-Match-Logs
18,Matthew Longstaff, ENG,MF,19,7,6,545,/en/players/c0027d2d/matchlogs/2019-2020/Matthew-Longstaff-Match-Logs
19,Andy Carroll, ENG,FW,30,13,4,508,/en/players/b581987a/matchlogs/2019-2020/Andy-Carroll-Match-Logs
20,Florian Lejeune,FRA,DF,28,6,4,441,/en/players/6eaed4eb/matchlogs/2019-2020/Florian-Lejeune-Match-Logs
21,Dwight Gayle, ENG,FW,28,12,4,378,/en/players/e58a03c6/matchlogs/2019-2020/Dwight-Gayle-Match-Logs
22,Danny Rose, ENG,DF,29,5,4,352,/en/players/89d10e53/matchlogs/2019-2020/Danny-Rose-Match-Logs
23,Nabil Bentaleb,ALG,MF,24,3,3,270,/en/players/3189f61a/matchlogs/2019-2020/Nabil-Bentaleb-Match-Logs
24,Valentino Lazaro,AUT,DF,23,4,2,217,/en/players/016ff750/matchlogs/2019-2020/Valentino-Lazaro-Match-Logs
25,Yoshinori Mutō,JPN,"FW,MF",27,7,2,201,/en/players/5343eb4e/matchlogs/2019-2020/Yoshinori-Muto-Match-Logs
26,Ki Sung-yueng,KOR,MF,30,3,1,136,/en/players/1d8c99b0/matchlogs/2019-2020/Ki-Sung-yueng-Match-Logs
27,Thomas Allan, ENG,MF,19,0,0,,/en/players/e95726c1/matchlogs/2019-2020/Thomas-Allan-Match-Logs
28,Karl Darlow, ENG,GK,28,0,0,,/en/players/cde3309f/matchlogs/2019-2020/Karl-Darlow-Match-Logs
29,Rob Elliot,IRL,GK,33,0,0,,/en/players/b1b25949/matchlogs/2019-2020/Rob-Elliot-Match-Logs
30,Liam Gibson, ENG,DF,22,0,0,,/en/players/b51f8aee/matchlogs/2019-2020/Liam-Gibson-Match-Logs
31,Kelland Watts, ENG,DF,19,0,0,,/en/players/603e4f0b/matchlogs/2019-2020/Kelland-Watts-Match-Logs
