,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Teemu Pukki,FIN,FW,29,28,28,"2,486",/en/players/0745b37d/matchlogs/2019-2020/Teemu-Pukki-Match-Logs
1,Max Aarons, ENG,DF,19,27,27,"2,430",/en/players/774cf58b/matchlogs/2019-2020/Max-Aarons-Match-Logs
2,Tim Krul,NED,GK,31,27,27,"2,430",/en/players/f23f9d20/matchlogs/2019-2020/Tim-Krul-Match-Logs
3,Kenny McLean, SCO,MF,27,28,25,"2,289",/en/players/471f16b3/matchlogs/2019-2020/Kenny-McLean-Match-Logs
4,Todd Cantwell, ENG,FW,21,29,25,"2,080",/en/players/f63d8a4b/matchlogs/2019-2020/Todd-Cantwell-Match-Logs
5,Emi Buendía,ARG,"FW,MF",22,28,22,"2,016",/en/players/66b76d44/matchlogs/2019-2020/Emi-Buendia-Match-Logs
6,Ben Godfrey, ENG,DF,21,21,21,"1,835",/en/players/9f7c837d/matchlogs/2019-2020/Ben-Godfrey-Match-Logs
7,Alexander Tettey,NOR,"MF,DF",33,23,21,"1,791",/en/players/75566759/matchlogs/2019-2020/Alexander-Tettey-Match-Logs
8,Jamal Lewis, NIR,DF,21,19,16,"1,498",/en/players/efb9215a/matchlogs/2019-2020/Jamal-Lewis-Match-Logs
9,Christoph Zimmermann,GER,DF,26,15,15,"1,296",/en/players/2d5f03bf/matchlogs/2019-2020/Christoph-Zimmermann-Match-Logs
10,Sam Byram, ENG,DF,25,17,15,"1,293",/en/players/1bf811d4/matchlogs/2019-2020/Sam-Byram-Match-Logs
11,Grant Hanley, SCO,DF,27,15,14,"1,262",/en/players/e9254eec/matchlogs/2019-2020/Grant-Hanley-Match-Logs
12,Tom Trybull,GER,MF,26,14,12,"1,029",/en/players/552aa16c/matchlogs/2019-2020/Tom-Trybull-Match-Logs
13,Marco Stiepermann,GER,MF,28,19,11,938,/en/players/b606638c/matchlogs/2019-2020/Marco-Stiepermann-Match-Logs
14,Ibrahim Amadou,FRA,"DF,MF",26,11,8,756,/en/players/9260926b/matchlogs/2019-2020/Ibrahim-Amadou-Match-Logs
15,Onel Hernández,CUB,"FW,MF",26,17,7,757,/en/players/007b39a5/matchlogs/2019-2020/Onel-Hernandez-Match-Logs
16,Moritz Leitner,GER,MF,26,9,7,685,/en/players/9460aaed/matchlogs/2019-2020/Moritz-Leitner-Match-Logs
17,Ondrej Duda,SVK,MF,24,7,7,581,/en/players/79ca3e23/matchlogs/2019-2020/Ondrej-Duda-Match-Logs
18,Mario Vrančić,BIH,MF,30,12,4,379,/en/players/16fa6881/matchlogs/2019-2020/Mario-Vrancic-Match-Logs
19,Lukas Rupp,GER,FW,28,6,4,339,/en/players/3faa1780/matchlogs/2019-2020/Lukas-Rupp-Match-Logs
20,Michael McGovern, NIR,GK,35,2,1,158,/en/players/51a19d04/matchlogs/2019-2020/Michael-McGovern-Match-Logs
21,Adam Idah,IRL,FW,18,3,1,68,/en/players/291e3ec3/matchlogs/2019-2020/Adam-Idah-Match-Logs
22,Ralf Fährmann,GER,GK,30,1,1,22,/en/players/1e43fad8/matchlogs/2019-2020/Ralf-Fahrmann-Match-Logs
23,Josip Drmić,SUI,"FW,MF",26,14,0,215,/en/players/15ea94de/matchlogs/2019-2020/Josip-Drmic-Match-Logs
24,Dennis Srbeny,GER,"MF,FW",25,8,0,39,/en/players/1fdec858/matchlogs/2019-2020/Dennis-Srbeny-Match-Logs
25,Patrick Roberts, ENG,"MF,FW",22,3,0,23,/en/players/59d93937/matchlogs/2019-2020/Patrick-Roberts-Match-Logs
26,Akin Famewo, ENG,DF,20,0,0,,/en/players/9d9a71c1/matchlogs/2019-2020/Akin-Famewo-Match-Logs
27,Philip Heise,GER,"DF,MF",28,0,0,,/en/players/ef66b362/matchlogs/2019-2020/Philip-Heise-Match-Logs
28,Timm Klose,SUI,DF,31,0,0,,/en/players/5f1d07f6/matchlogs/2019-2020/Timm-Klose-Match-Logs
29,Archie Mair, SCO,GK,18,0,0,,/en/players/70e9afd8/matchlogs/2019-2020/Archie-Mair-Match-Logs
