,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,George Baldock, ENG,DF,26,28,28,"2,520",/en/players/394854c4/matchlogs/2019-2020/George-Baldock-Match-Logs
1,Jack O'Connell, ENG,DF,25,28,28,"2,520",/en/players/312626c1/matchlogs/2019-2020/Jack-OConnell-Match-Logs
2,Enda Stevens,IRL,DF,29,28,28,"2,446",/en/players/17d4507a/matchlogs/2019-2020/Enda-Stevens-Match-Logs
3,Chris Basham, ENG,DF,31,28,28,"2,440",/en/players/1aa84968/matchlogs/2019-2020/Chris-Basham-Match-Logs
4,Oliver Norwood, NIR,MF,28,28,28,"2,382",/en/players/43439614/matchlogs/2019-2020/Oliver-Norwood-Match-Logs
5,Dean Henderson, ENG,GK,22,27,27,"2,430",/en/players/e5a76dfe/matchlogs/2019-2020/Dean-Henderson-Match-Logs
6,John Egan,IRL,DF,26,27,27,"2,419",/en/players/debe38a0/matchlogs/2019-2020/John-Egan-Match-Logs
7,John Fleck, SCO,MF,27,25,25,"2,189",/en/players/b63e789d/matchlogs/2019-2020/John-Fleck-Match-Logs
8,John Lundstram, ENG,MF,25,27,23,"2,069",/en/players/0df2b165/matchlogs/2019-2020/John-Lundstram-Match-Logs
9,David McGoldrick,IRL,FW,31,21,16,"1,361",/en/players/dbe56a33/matchlogs/2019-2020/David-McGoldrick-Match-Logs
10,Oliver McBurnie, SCO,FW,23,26,15,"1,435",/en/players/78b8ac63/matchlogs/2019-2020/Oliver-McBurnie-Match-Logs
11,Lys Mousset,FRA,FW,23,23,10,"1,018",/en/players/d9cfca3d/matchlogs/2019-2020/Lys-Mousset-Match-Logs
12,Callum Robinson,IRL,FW,24,16,9,676,/en/players/e75750a3/matchlogs/2019-2020/Callum-Robinson-Match-Logs
13,Billy Sharp, ENG,FW,33,18,6,665,/en/players/e8c9f4e9/matchlogs/2019-2020/Billy-Sharp-Match-Logs
14,Luke Freeman, ENG,MF,27,9,3,322,/en/players/636b64cd/matchlogs/2019-2020/Luke-Freeman-Match-Logs
15,Sander Berge,NOR,MF,21,4,3,210,/en/players/d0b6129f/matchlogs/2019-2020/Sander-Berge-Match-Logs
16,Muhamed Bešić,BIH,MF,26,9,2,245,/en/players/7ca9f0f0/matchlogs/2019-2020/Muhamed-Besic-Match-Logs
17,Phil Jagielka, ENG,DF,36,4,1,128,/en/players/3233eefd/matchlogs/2019-2020/Phil-Jagielka-Match-Logs
18,Simon Moore, ENG,GK,29,1,1,90,/en/players/e7434f04/matchlogs/2019-2020/Simon-Moore-Match-Logs
19,Ben Osborn, ENG,"DF,MF",24,7,0,124,/en/players/79bc4c45/matchlogs/2019-2020/Ben-Osborn-Match-Logs
20,Leon Clarke, ENG,MF,34,1,0,13,/en/players/91c975a0/matchlogs/2019-2020/Leon-Clarke-Match-Logs
21,Ravel Morrison, ENG,MF,26,1,0,12,/en/players/bf59c794/matchlogs/2019-2020/Ravel-Morrison-Match-Logs
22,Jake Eastwood, ENG,GK,22,0,0,,/en/players/54d9b72d/matchlogs/2019-2020/Jake-Eastwood-Match-Logs
23,Kieron Freeman, WAL,"DF,MF",27,0,0,,/en/players/c13c24c8/matchlogs/2019-2020/Kieron-Freeman-Match-Logs
24,Panagiotis Retsos,GRE,DF,20,0,0,,/en/players/4bd00a50/matchlogs/2019-2020/Panagiotis-Retsos-Match-Logs
25,Jack Robinson, ENG,DF,25,0,0,,/en/players/7399c7a8/matchlogs/2019-2020/Jack-Robinson-Match-Logs
26,Richard Stearman, ENG,DF,31,0,0,,/en/players/9a3a436e/matchlogs/2019-2020/Richard-Stearman-Match-Logs
27,Michael Verrips,NED,GK,22,0,0,,/en/players/424595d5/matchlogs/2019-2020/Michael-Verrips-Match-Logs
