,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,James Ward-Prowse, ENG,"MF,DF",24,29,29,"2,610",/en/players/3515d404/matchlogs/2019-2020/James-Ward-Prowse-Match-Logs
1,Pierre Højbjerg,DEN,MF,23,28,27,"2,447",/en/players/8b04d6c1/matchlogs/2019-2020/Pierre-Hojbjerg-Match-Logs
2,Jan Bednarek,POL,DF,23,27,27,"2,428",/en/players/4115ce4e/matchlogs/2019-2020/Jan-Bednarek-Match-Logs
3,Ryan Bertrand, ENG,DF,29,24,23,"2,023",/en/players/01226327/matchlogs/2019-2020/Ryan-Bertrand-Match-Logs
4,Danny Ings, ENG,FW,27,29,23,"2,006",/en/players/07802f7f/matchlogs/2019-2020/Danny-Ings-Match-Logs
5,Nathan Redmond, ENG,"MF,FW",25,23,23,"1,960",/en/players/ab651565/matchlogs/2019-2020/Nathan-Redmond-Match-Logs
6,Jack Stephens, ENG,DF,25,21,20,"1,828",/en/players/6adbc307/matchlogs/2019-2020/Jack-Stephens-Match-Logs
7,Alex McCarthy, ENG,GK,29,19,19,"1,710",/en/players/36c2ca73/matchlogs/2019-2020/Alex-McCarthy-Match-Logs
8,Cédric Soares,POR,DF,27,16,16,"1,309",/en/players/839c14e1/matchlogs/2019-2020/Cedric-Soares-Match-Logs
9,Oriol Romeu,ESP,MF,27,22,13,"1,308",/en/players/4b511457/matchlogs/2019-2020/Oriol-Romeu-Match-Logs
10,Shane Long,IRL,FW,32,19,13,"1,141",/en/players/9f472354/matchlogs/2019-2020/Shane-Long-Match-Logs
11,Jannik Vestergaard,DEN,DF,26,14,13,"1,136",/en/players/1900032e/matchlogs/2019-2020/Jannik-Vestergaard-Match-Logs
12,Stuart Armstrong, SCO,MF,27,21,12,"1,140",/en/players/97333cf5/matchlogs/2019-2020/Stuart-Armstrong-Match-Logs
13,Moussa Djenepo,MLI,"MF,DF",21,18,10,925,/en/players/254147d4/matchlogs/2019-2020/Moussa-Djenepo-Match-Logs
14,Angus Gunn, ENG,GK,23,10,10,900,/en/players/e082af5b/matchlogs/2019-2020/Angus-Gunn-Match-Logs
15,Sofiane Boufal,MAR,"MF,FW",25,19,8,759,/en/players/b0c71810/matchlogs/2019-2020/Sofiane-Boufal-Match-Logs
16,Che Adams, ENG,FW,23,22,8,725,/en/players/f2bf1b0f/matchlogs/2019-2020/Che-Adams-Match-Logs
17,Yan Valery,FRA,DF,20,9,8,648,/en/players/531a4aa8/matchlogs/2019-2020/Yan-Valery-Match-Logs
18,Maya Yoshida,JPN,DF,30,8,6,558,/en/players/caffaf5a/matchlogs/2019-2020/Maya-Yoshida-Match-Logs
19,Michael Obafemi,IRL,FW,19,15,5,483,/en/players/caa1a7f0/matchlogs/2019-2020/Michael-Obafemi-Match-Logs
20,Kevin Danso,AUT,DF,20,6,3,275,/en/players/6e33125f/matchlogs/2019-2020/Kevin-Danso-Match-Logs
21,William Smallbone,IRL,MF,19,2,2,158,/en/players/5e105217/matchlogs/2019-2020/William-Smallbone-Match-Logs
22,Kyle Walker-Peters, ENG,DF,22,1,1,73,/en/players/984a5a64/matchlogs/2019-2020/Kyle-Walker-Peters-Match-Logs
23,Fraser Forster, ENG,GK,31,0,0,,/en/players/c3e39f12/matchlogs/2019-2020/Fraser-Forster-Match-Logs
24,Harry Lewis, ENG,GK,21,0,0,,/en/players/c35e99d8/matchlogs/2019-2020/Harry-Lewis-Match-Logs
25,Dan Nlundulu, ENG,FW,20,0,0,,/en/players/30040f5d/matchlogs/2019-2020/Dan-Nlundulu-Match-Logs
