,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Toby Alderweireld,BEL,DF,30,27,27,"2,418",/en/players/f7d50789/matchlogs/2019-2020/Toby-Alderweireld-Match-Logs
1,Serge Aurier,CIV,DF,26,24,22,"1,914",/en/players/5c2b4f07/matchlogs/2019-2020/Serge-Aurier-Match-Logs
2,Davinson Sánchez,COL,DF,23,22,21,"1,890",/en/players/da7b447d/matchlogs/2019-2020/Davinson-Sanchez-Match-Logs
3,Harry Kane, ENG,FW,26,20,20,"1,780",/en/players/21a66f6a/matchlogs/2019-2020/Harry-Kane-Match-Logs
4,Dele Alli, ENG,"MF,FW",23,22,20,"1,764",/en/players/cea4ee8f/matchlogs/2019-2020/Dele-Alli-Match-Logs
5,Son Heung-min,KOR,FW,27,21,20,"1,748",/en/players/92e7e919/matchlogs/2019-2020/Son-Heung-min-Match-Logs
6,Moussa Sissoko,FRA,MF,29,20,19,"1,690",/en/players/2acd49b9/matchlogs/2019-2020/Moussa-Sissoko-Match-Logs
7,Harry Winks, ENG,MF,23,23,19,"1,594",/en/players/2f7acede/matchlogs/2019-2020/Harry-Winks-Match-Logs
8,Lucas Moura,BRA,"FW,MF",26,27,18,"1,683",/en/players/2b622f01/matchlogs/2019-2020/Lucas-Moura-Match-Logs
9,Jan Vertonghen,BEL,DF,32,19,18,"1,544",/en/players/ba23a904/matchlogs/2019-2020/Jan-Vertonghen-Match-Logs
10,Paulo Gazzaniga,ARG,GK,27,18,17,"1,612",/en/players/63d17038/matchlogs/2019-2020/Paulo-Gazzaniga-Match-Logs
11,Hugo Lloris,FRA,GK,32,12,12,998,/en/players/8f62b6ee/matchlogs/2019-2020/Hugo-Lloris-Match-Logs
12,Tanguy Ndombele,FRA,MF,22,19,12,944,/en/players/5cdddffa/matchlogs/2019-2020/Tanguy-Ndombele-Match-Logs
13,Christian Eriksen,DEN,"MF,FW",27,20,10,"1,092",/en/players/980522ec/matchlogs/2019-2020/Christian-Eriksen-Match-Logs
14,Érik Lamela,ARG,"MF,FW",27,17,10,936,/en/players/abe66106/matchlogs/2019-2020/Erik-Lamela-Match-Logs
15,Danny Rose, ENG,DF,29,12,10,894,/en/players/89d10e53/matchlogs/2019-2020/Danny-Rose-Match-Logs
16,Eric Dier, ENG,"MF,DF",25,14,10,891,/en/players/ac861941/matchlogs/2019-2020/Eric-Dier-Match-Logs
17,Giovani Lo Celso,ARG,"MF,FW",23,19,7,869,/en/players/d7553721/matchlogs/2019-2020/Giovani-Lo-Celso-Match-Logs
18,Ben Davies, WAL,DF,26,9,7,631,/en/players/44781702/matchlogs/2019-2020/Ben-Davies-Match-Logs
19,Japhet Tanganga, ENG,DF,20,6,6,526,/en/players/e9971f2d/matchlogs/2019-2020/Japhet-Tanganga-Match-Logs
20,Steven Bergwijn,NED,"FW,MF",21,5,5,418,/en/players/a29b1131/matchlogs/2019-2020/Steven-Bergwijn-Match-Logs
21,Ryan Sessegnon, ENG,DF,19,6,4,341,/en/players/6aa3e78b/matchlogs/2019-2020/Ryan-Sessegnon-Match-Logs
22,Kyle Walker-Peters, ENG,DF,22,3,3,242,/en/players/984a5a64/matchlogs/2019-2020/Kyle-Walker-Peters-Match-Logs
23,Juan Foyth,ARG,DF,21,4,1,65,/en/players/6c7762c3/matchlogs/2019-2020/Juan-Foyth-Match-Logs
24,Oliver Skipp, ENG,"MF,DF",18,4,1,55,/en/players/6250083a/matchlogs/2019-2020/Oliver-Skipp-Match-Logs
25,Gedson Fernandes,POR,"MF,DF",20,4,0,40,/en/players/e2dde94c/matchlogs/2019-2020/Gedson-Fernandes-Match-Logs
26,Victor Wanyama,KEN,MF,28,2,0,23,/en/players/e0900238/matchlogs/2019-2020/Victor-Wanyama-Match-Logs
27,Troy Parrott,IRL,MF,17,2,0,5,/en/players/4357f557/matchlogs/2019-2020/Troy-Parrott-Match-Logs
28,Georges-Kévin N'Koudou,FRA,FW,24,1,0,2,/en/players/76c131da/matchlogs/2019-2020/Georges-Kevin-NKoudou-Match-Logs
29,Brandon Austin, ENG,GK,20,0,0,,/en/players/5e253986/matchlogs/2019-2020/Brandon-Austin-Match-Logs
30,Michel Vorm,NED,GK,35,0,0,,/en/players/1bebde9d/matchlogs/2019-2020/Michel-Vorm-Match-Logs
31,Alfie Whiteman, ENG,GK,20,0,0,,/en/players/3f2587ee/matchlogs/2019-2020/Alfie-Whiteman-Match-Logs
