,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Hannah Godfrey, SCO,DF,22,14,14,"1,260",/en/players/22955271/matchlogs/2019-2020/Hannah-Godfrey-Match-Logs
1,Ria Percival,NZL,"MF,DF",29,14,14,"1,260",/en/players/f3746547/matchlogs/2019-2020/Ria-Percival-Match-Logs
2,Rebecca Spencer, ENG,GK,28,14,14,"1,208",/en/players/c207731f/matchlogs/2019-2020/Rebecca-Spencer-Match-Logs
3,Anna Filbey, WAL,DF,19,13,13,"1,154",/en/players/1c116781/matchlogs/2019-2020/Anna-Filbey-Match-Logs
4,Rianna Dean, ENG,FW,20,14,13,"1,132",/en/players/dac61e61/matchlogs/2019-2020/Rianna-Dean-Match-Logs
5,Josephine Green, WAL,MF,26,14,12,"1,113",/en/players/90ca21de/matchlogs/2019-2020/Josephine-Green-Match-Logs
6,Ashleigh Neville, ENG,DF,26,13,12,"1,091",/en/players/047b0b71/matchlogs/2019-2020/Ashleigh-Neville-Match-Logs
7,Kit Graham, ENG,"FW,MF",23,14,12,"1,079",/en/players/7cdb3c2e/matchlogs/2019-2020/Kit-Graham-Match-Logs
8,Chloe Peplow, ENG,MF,20,12,10,822,/en/players/b503594e/matchlogs/2019-2020/Chloe-Peplow-Match-Logs
9,Siri Worm,NED,DF,27,10,10,734,/en/players/ef3ae457/matchlogs/2019-2020/Siri-Worm-Match-Logs
10,Gemma Davison, ENG,"MF,FW",32,12,9,876,/en/players/04629c12/matchlogs/2019-2020/Gemma-Davison-Match-Logs
11,Rachel Furness, NIR,"MF,FW",31,9,9,810,/en/players/30260df0/matchlogs/2019-2020/Rachel-Furness-Match-Logs
12,Rosella Ayane, ENG,"FW,MF",23,11,6,573,/en/players/41548209/matchlogs/2019-2020/Rosella-Ayane-Match-Logs
13,Lucy Quinn, ENG,"MF,FW",,15,5,528,/en/players/c7194657/matchlogs/2019-2020/Lucy-Quinn-Match-Logs
14,Emma Mitchell, SCO,DF,26,4,3,315,/en/players/0bf3e7fe/matchlogs/2019-2020/Emma-Mitchell-Match-Logs
15,Jenna Schillaci, ENG,DF,35,3,3,270,/en/players/48e48d80/matchlogs/2019-2020/Jenna-Schillaci-Match-Logs
16,Angela Addison, ENG,"FW,MF",19,7,2,200,/en/players/4fdc46a1/matchlogs/2019-2020/Angela-Addison-Match-Logs
17,Coral-Jade Haines, ENG,MF,23,3,2,111,/en/players/0d8a32bc/matchlogs/2019-2020/Coral-Jade-Haines-Match-Logs
18,Lucia Leon, ENG,"DF,FW",21,5,1,146,/en/players/be71f47a/matchlogs/2019-2020/Lucia-Leon-Match-Logs
19,Vencislav Vasilev, ENG,GK,31,3,1,142,/en/players/0994ccc7/matchlogs/2019-2020/Vencislav-Vasilev-Match-Logs
20,Megan Wynne, WAL,"DF,MF",26,3,0,12,/en/players/f3b63087/matchlogs/2019-2020/Megan-Wynne-Match-Logs
21,Megan Drew,,GK,,0,0,,/en/players/5bb0eb1d/matchlogs/2019-2020/Megan-Drew-Match-Logs
22,Sophie McLean, ENG,MF,23,0,0,,/en/players/1ca62c6a/matchlogs/2019-2020/Sophie-McLean-Match-Logs
