,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Ben Foster, ENG,GK,36,29,29,"2,610",/en/players/d0b3ceb9/matchlogs/2019-2020/Ben-Foster-Match-Logs
1,Abdoulaye Doucouré,FRA,MF,26,28,28,"2,450",/en/players/02b29014/matchlogs/2019-2020/Abdoulaye-Doucoure-Match-Logs
2,Craig Cathcart, NIR,DF,30,27,27,"2,355",/en/players/89e4b358/matchlogs/2019-2020/Craig-Cathcart-Match-Logs
3,Gerard Deulofeu,ESP,FW,25,28,25,"2,107",/en/players/39583cfd/matchlogs/2019-2020/Gerard-Deulofeu-Match-Logs
4,Étienne Capoue,FRA,MF,31,24,24,"2,140",/en/players/5acc4a10/matchlogs/2019-2020/Etienne-Capoue-Match-Logs
5,Christian Kabasele,BEL,DF,28,19,18,"1,574",/en/players/914ab9a1/matchlogs/2019-2020/Christian-Kabasele-Match-Logs
6,Will Hughes, ENG,MF,24,21,18,"1,516",/en/players/a0666d3e/matchlogs/2019-2020/Will-Hughes-Match-Logs
7,Craig Dawson, ENG,DF,29,20,17,"1,549",/en/players/3e9e06cb/matchlogs/2019-2020/Craig-Dawson-Match-Logs
8,Kiko Femenía,ESP,DF,28,19,17,"1,526",/en/players/e5d01ecf/matchlogs/2019-2020/Kiko-Femenia-Match-Logs
9,Troy Deeney, ENG,FW,31,18,17,"1,506",/en/players/82e34b69/matchlogs/2019-2020/Troy-Deeney-Match-Logs
10,Roberto Pereyra,ARG,"FW,MF",28,23,13,"1,327",/en/players/75f2c59f/matchlogs/2019-2020/Roberto-Pereyra-Match-Logs
11,Adrian Mariappa,JAM,DF,32,15,13,"1,226",/en/players/8aa5f52c/matchlogs/2019-2020/Adrian-Mariappa-Match-Logs
12,Ismaila Sarr,SEN,"FW,MF",21,19,13,"1,226",/en/players/bfdb33aa/matchlogs/2019-2020/Ismaila-Sarr-Match-Logs
13,Adam Masina,ITA,DF,25,17,13,"1,222",/en/players/de0f152c/matchlogs/2019-2020/Adam-Masina-Match-Logs
14,José Holebas,GRE,DF,35,12,11,"1,006",/en/players/12aa7661/matchlogs/2019-2020/Jose-Holebas-Match-Logs
15,Nathaniel Chalobah, ENG,MF,24,15,9,778,/en/players/422862ea/matchlogs/2019-2020/Nathaniel-Chalobah-Match-Logs
16,Tom Cleverley, ENG,MF,29,10,8,657,/en/players/6cdd8245/matchlogs/2019-2020/Tom-Cleverley-Match-Logs
17,Andre Gray, ENG,FW,28,20,7,716,/en/players/c24dba2a/matchlogs/2019-2020/Andre-Gray-Match-Logs
18,Daryl Janmaat,NED,DF,30,8,7,608,/en/players/45da6694/matchlogs/2019-2020/Daryl-Janmaat-Match-Logs
19,Danny Welbeck, ENG,"FW,MF",28,9,3,277,/en/players/ce5143da/matchlogs/2019-2020/Danny-Welbeck-Match-Logs
20,Dimitri Foulquier,FRA,"MF,DF",26,3,1,58,/en/players/45e17712/matchlogs/2019-2020/Dimitri-Foulquier-Match-Logs
21,Sebastian Prödl,AUT,DF,32,1,1,57,/en/players/f5e6d08d/matchlogs/2019-2020/Sebastian-Prodl-Match-Logs
22,Isaac Success,NGA,"FW,MF",23,5,0,65,/en/players/f573a8bf/matchlogs/2019-2020/Isaac-Success-Match-Logs
23,Ignacio Pussetto,ARG,"FW,MF",23,6,0,56,/en/players/62437b4f/matchlogs/2019-2020/Ignacio-Pussetto-Match-Logs
24,Domingos Quina,POR,MF,19,4,0,18,/en/players/41fb0f4e/matchlogs/2019-2020/Domingos-Quina-Match-Logs
25,Tom Dele-Bashiru,NGA,MF,19,0,0,,/en/players/0666f848/matchlogs/2019-2020/Tom-Dele-Bashiru-Match-Logs
26,Heurelho Gomes,BRA,GK,38,0,0,,/en/players/d596e193/matchlogs/2019-2020/Heurelho-Gomes-Match-Logs
27,João Pedro,BRA,FW,17,0,0,,/en/players/e8832875/matchlogs/2019-2020/Joao-Pedro-Match-Logs
28,Ken Sema,SWE,MF,25,0,0,,/en/players/1770bd68/matchlogs/2019-2020/Ken-Sema-Match-Logs
