,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Gilly Flaherty, ENG,DF,27,14,14,"1,260",/en/players/c7cbc20d/matchlogs/2019-2020/Gilly-Flaherty-Match-Logs
1,Laura Vetterlein,GER,DF,27,13,13,"1,140",/en/players/6f74ae1e/matchlogs/2019-2020/Laura-Vetterlein-Match-Logs
2,Kenza Dali,FRA,"MF,FW",28,14,12,"1,170",/en/players/1cb43c5f/matchlogs/2019-2020/Kenza-Dali-Match-Logs
3,Katharina Baunach,GER,DF,30,12,12,"1,044",/en/players/6c339bd8/matchlogs/2019-2020/Katharina-Baunach-Match-Logs
4,Alisha Lehmann,SUI,"FW,MF",20,13,11,967,/en/players/f32bb122/matchlogs/2019-2020/Alisha-Lehmann-Match-Logs
5,Kate Longhurst, ENG,MF,30,13,11,963,/en/players/05638837/matchlogs/2019-2020/Kate-Longhurst-Match-Logs
6,Cecilie Kvamme,NOR,DF,23,13,10,972,/en/players/9d8d9f54/matchlogs/2019-2020/Cecilie-Kvamme-Match-Logs
7,Courtney Brosnan,IRL,GK,23,10,10,900,/en/players/1cd91ff2/matchlogs/2019-2020/Courtney-Brosnan-Match-Logs
8,Martha Thomas,USA,FW,23,10,10,887,/en/players/39e9f635/matchlogs/2019-2020/Martha-Thomas-Match-Logs
9,Tessel Middag,NED,MF,26,13,9,714,/en/players/391e83d9/matchlogs/2019-2020/Tessel-Middag-Match-Logs
10,Adriana Leon,CAN,"FW,MF",26,11,7,642,/en/players/15c7bfb7/matchlogs/2019-2020/Adriana-Leon-Match-Logs
11,Leanne Kiernan,IRL,"FW,MF",20,9,7,524,/en/players/be519a1d/matchlogs/2019-2020/Leanne-Kiernan-Match-Logs
12,Cho So-hyun,KOR,MF,31,8,6,546,/en/players/4c004d8c/matchlogs/2019-2020/Cho-So-hyun-Match-Logs
13,Jacynta Galabadaarachchi,AUS,"FW,MF",18,11,5,487,/en/players/3af2bd89/matchlogs/2019-2020/Jacynta-Galabadaarachchi-Match-Logs
14,Grace Fisk, ENG,DF,21,5,5,423,/en/players/3978f8a9/matchlogs/2019-2020/Grace-Fisk-Match-Logs
15,Brooke Hendrix,USA,DF,26,7,4,402,/en/players/ab662bbc/matchlogs/2019-2020/Brooke-Hendrix-Match-Logs
16,Anna Moorhouse, ENG,GK,24,4,4,360,/en/players/271c5edc/matchlogs/2019-2020/Anna-Moorhouse-Match-Logs
17,Julia Simic,GER,MF,30,5,2,206,/en/players/71a8e019/matchlogs/2019-2020/Julia-Simic-Match-Logs
18,Erin Simon,USA,DF,24,2,2,135,/en/players/99b8bc28/matchlogs/2019-2020/Erin-Simon-Match-Logs
19,Filippa Wallén,,"FW,DF",0,2,0,51,/en/players/31c5d57d/matchlogs/2019-2020/Filippa-Wallen-Match-Logs
20,Esmee de Graaf,NED,"FW,DF",21,2,0,35,/en/players/c2aea32c/matchlogs/2019-2020/Esmee-de-Graaf-Match-Logs
21,Ruesha Littlejohn,IRL,"MF,FW",29,2,0,30,/en/players/342232da/matchlogs/2019-2020/Ruesha-Littlejohn-Match-Logs
22,Wiktoria Kiszkis,POL,FW,16,1,0,,/en/players/979f9251/matchlogs/2019-2020/Wiktoria-Kiszkis-Match-Logs
23,Olivia Smith, ENG,DF,19,0,0,,/en/players/7e55be3a/matchlogs/2019-2020/Olivia-Smith-Match-Logs
