,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Declan Rice, ENG,MF,20,29,29,"2,610",/en/players/1c7012b8/matchlogs/2019-2020/Declan-Rice-Match-Logs
1,Mark Noble, ENG,MF,32,26,26,"2,147",/en/players/ff527768/matchlogs/2019-2020/Mark-Noble-Match-Logs
2,Angelo Ogbonna,ITA,DF,31,24,24,"2,160",/en/players/74b2cd7e/matchlogs/2019-2020/Angelo-Ogbonna-Match-Logs
3,Sébastien Haller,FRA,FW,25,27,24,"2,148",/en/players/ba115a40/matchlogs/2019-2020/Sebastien-Haller-Match-Logs
4,Aaron Cresswell, ENG,DF,29,23,23,"2,025",/en/players/4f974391/matchlogs/2019-2020/Aaron-Cresswell-Match-Logs
5,Issa Diop,FRA,DF,22,23,22,"1,956",/en/players/a712ca2b/matchlogs/2019-2020/Issa-Diop-Match-Logs
6,Ryan Fredericks, ENG,DF,26,20,19,"1,688",/en/players/c067631c/matchlogs/2019-2020/Ryan-Fredericks-Match-Logs
7,Felipe Anderson,BRA,"MF,FW",26,22,19,"1,415",/en/players/9f1893b9/matchlogs/2019-2020/Felipe-Anderson-Match-Logs
8,Robert Snodgrass, SCO,"MF,FW",31,24,17,"1,511",/en/players/9f4647e9/matchlogs/2019-2020/Robert-Snodgrass-Match-Logs
9,Łukasz Fabiański,POL,GK,34,16,16,"1,309",/en/players/9328b835/matchlogs/2019-2020/Lukasz-Fabianski-Match-Logs
10,Pablo Fornals,ESP,MF,23,27,15,"1,464",/en/players/82927de4/matchlogs/2019-2020/Pablo-Fornals-Match-Logs
11,Manuel Lanzini,ARG,"MF,FW",26,19,12,"1,188",/en/players/26f6dca8/matchlogs/2019-2020/Manuel-Lanzini-Match-Logs
12,Fabián Balbuena,PAR,DF,27,13,12,"1,080",/en/players/3626f7d9/matchlogs/2019-2020/Fabian-Balbuena-Match-Logs
13,Michail Antonio, ENG,"FW,MF",29,15,10,"1,030",/en/players/ac05f970/matchlogs/2019-2020/Michail-Antonio-Match-Logs
14,Arthur Masuaku,COD,DF,25,15,10,909,/en/players/57df7a11/matchlogs/2019-2020/Arthur-Masuaku-Match-Logs
15,Andriy Yarmolenko,UKR,MF,29,15,9,828,/en/players/849c826a/matchlogs/2019-2020/Andriy-Yarmolenko-Match-Logs
16,Roberto,ESP,GK,33,8,7,686,/en/players/ba3ca78f/matchlogs/2019-2020/Roberto-Match-Logs
17,Pablo Zabaleta,ARG,DF,34,10,6,589,/en/players/6813ac34/matchlogs/2019-2020/Pablo-Zabaleta-Match-Logs
18,David Martin, ENG,GK,33,5,4,435,/en/players/07666c20/matchlogs/2019-2020/David-Martin-Match-Logs
19,Jeremy Ngakia, ENG,DF,18,4,4,360,/en/players/3631ad41/matchlogs/2019-2020/Jeremy-Ngakia-Match-Logs
20,Tomáš Souček,CZE,MF,24,4,3,231,/en/players/6613c819/matchlogs/2019-2020/Tomas-Soucek-Match-Logs
21,Jarrod Bowen, ENG,"FW,MF",22,4,2,184,/en/players/79c84d1c/matchlogs/2019-2020/Jarrod-Bowen-Match-Logs
22,Darren Randolph,IRL,GK,32,2,2,180,/en/players/6385ebfb/matchlogs/2019-2020/Darren-Randolph-Match-Logs
23,Jack Wilshere, ENG,MF,27,6,2,175,/en/players/9c318325/matchlogs/2019-2020/Jack-Wilshere-Match-Logs
24,Carlos Sánchez,COL,"MF,DF",33,6,1,113,/en/players/50b51fac/matchlogs/2019-2020/Carlos-Sanchez-Match-Logs
25,Javier Hernández,MEX,FW,31,2,1,107,/en/players/189cee7b/matchlogs/2019-2020/Javier-Hernandez-Match-Logs
26,Albian Ajeti,SUI,"MF,FW",22,8,0,127,/en/players/2b1c4abd/matchlogs/2019-2020/Albian-Ajeti-Match-Logs
27,Nathan Holland, ENG,MF,21,2,0,31,/en/players/45ab2170/matchlogs/2019-2020/Nathan-Holland-Match-Logs
28,Joseph Anang,GHA,GK,19,0,0,,/en/players/21a866b7/matchlogs/2019-2020/Joseph-Anang-Match-Logs
29,Gonçalo Cardoso,POR,DF,18,0,0,,/en/players/47760615/matchlogs/2019-2020/Goncalo-Cardoso-Match-Logs
30,Bernardo Costa Da Rosa,BRA,MF,18,0,0,,/en/players/cd3112d5/matchlogs/2019-2020/Bernardo-Costa-Da-Rosa-Match-Logs
31,Winston Reid,NZL,DF,31,0,0,,/en/players/562eed5c/matchlogs/2019-2020/Winston-Reid-Match-Logs
