,name,Nation,Pos,Age,MP,Starts,Min,Matches
0,Conor Coady, ENG,DF,26,29,29,"2,610",/en/players/2928dca2/matchlogs/2019-2020/Conor-Coady-Match-Logs
1,Rui Patrício,POR,GK,31,29,29,"2,610",/en/players/79b0d6a0/matchlogs/2019-2020/Rui-Patricio-Match-Logs
2,Raúl Jiménez,MEX,FW,28,29,28,"2,465",/en/players/b561db50/matchlogs/2019-2020/Raul-Jimenez-Match-Logs
3,João Moutinho,POR,MF,32,29,27,"2,436",/en/players/f5a00fa4/matchlogs/2019-2020/Joao-Moutinho-Match-Logs
4,Rúben Neves,POR,MF,22,29,26,"2,281",/en/players/44bfb6c5/matchlogs/2019-2020/Ruben-Neves-Match-Logs
5,Leander Dendoncker,BEL,"DF,MF",24,29,26,"2,280",/en/players/5a7301ae/matchlogs/2019-2020/Leander-Dendoncker-Match-Logs
6,Jonny Castro,ESP,DF,25,26,25,"2,197",/en/players/e28868f3/matchlogs/2019-2020/Jonny-Castro-Match-Logs
7,Matt Doherty,IRL,DF,27,27,24,"2,150",/en/players/d557d734/matchlogs/2019-2020/Matt-Doherty-Match-Logs
8,Romain Saïss,MAR,DF,29,25,23,"1,985",/en/players/9fbbcf39/matchlogs/2019-2020/Romain-Saiss-Match-Logs
9,Adama Traoré,ESP,"FW,DF",23,28,22,"2,073",/en/players/9a28eba4/matchlogs/2019-2020/Adama-Traore-Match-Logs
10,Diogo Jota,POR,"FW,MF",22,25,21,"1,773",/en/players/178ae8f8/matchlogs/2019-2020/Diogo-Jota-Match-Logs
11,Willy Boly,FRA,DF,28,13,13,"1,169",/en/players/a4ac4b8f/matchlogs/2019-2020/Willy-Boly-Match-Logs
12,Pedro Neto,POR,"FW,MF",19,21,7,727,/en/players/7ba2eaa9/matchlogs/2019-2020/Pedro-Neto-Match-Logs
13,Ryan Bennett, ENG,DF,29,11,7,604,/en/players/0bad4516/matchlogs/2019-2020/Ryan-Bennett-Match-Logs
14,Rúben Vinagre,POR,DF,20,13,5,528,/en/players/b937e490/matchlogs/2019-2020/Ruben-Vinagre-Match-Logs
15,Patrick Cutrone,ITA,FW,21,12,3,292,/en/players/a4fe8cda/matchlogs/2019-2020/Patrick-Cutrone-Match-Logs
16,Max Kilman, ENG,DF,22,3,2,184,/en/players/d0f72bf1/matchlogs/2019-2020/Max-Kilman-Match-Logs
17,Jesús Vallejo,ESP,DF,22,2,1,162,/en/players/c2111b45/matchlogs/2019-2020/Jesus-Vallejo-Match-Logs
18,Morgan Gibbs-White, ENG,"MF,FW",19,4,1,123,/en/players/32f60ed8/matchlogs/2019-2020/Morgan-Gibbs-White-Match-Logs
19,Daniel Podence,POR,"MF,FW",23,4,0,42,/en/players/7fcc71d8/matchlogs/2019-2020/Daniel-Podence-Match-Logs
20,Bernard Ashley-Seal, ENG,FW,20,0,0,,/en/players/4f187520/matchlogs/2019-2020/Bernard-Ashley-Seal-Match-Logs
21,Oskar Buur,DEN,"DF,MF",21,0,0,,/en/players/aa6f2f2c/matchlogs/2019-2020/Oskar-Buur-Match-Logs
22,Luke Cundle, ENG,MF,,0,0,,/en/players/cc3b8e78/matchlogs/2019-2020/Luke-Cundle-Match-Logs
23,Ryan John Giles, ENG,MF,19,0,0,,/en/players/73b1d65b/matchlogs/2019-2020/Ryan-John-Giles-Match-Logs
24,Bruno Jordão,POR,MF,20,0,0,,/en/players/41ff002d/matchlogs/2019-2020/Bruno-Jordao-Match-Logs
25,Owen Otasowie, ENG,MF,18,0,0,,/en/players/6956ff08/matchlogs/2019-2020/Owen-Otasowie-Match-Logs
26,Taylor Perry, ENG,MF,18,0,0,,/en/players/01ba3996/matchlogs/2019-2020/Taylor-Perry-Match-Logs
27,John Ruddy, ENG,GK,32,0,0,,/en/players/da8b19e2/matchlogs/2019-2020/John-Ruddy-Match-Logs
